Token	Lemma
gelben	gelb
gelbe	gelb
grünem	grün
blau	blau
grünen	grün
grün	grün
blauen	blau
blaue	blau
grüne	grün
grünes	grün
gelbem	gelb
violett	violett
blauem	blau
gelber	gelb
