Hit	POS	Lemma
arbeitenden	ADJA	arbeitend
Arbeitenden	NN	Arbeitende
arbeitnassen	ADJA	arbeitnass
arbeitsame	ADJA	arbeitsam
arbeitsamer	ADJA	arbeitsam
arbeitsfähigen	ADJA	arbeitsfähig
arbeitsfähigen	ADJA	arbeitsfähig
arbeitslose	ADJA	arbeitslos
arbeitslosen	ADJA	arbeitslos
arbeitslosen	ADJA	arbeitslos
arbeitsmüde	ADJA	arbeitsmüde
arbeitsunfähigen	ADJA	arbeitsunfähig
arbeitswilligen	ADJA	arbeitswillig
arglistigen	ADJA	arglistig
arische	ADJA	arisch
arische	ADJA	arisch
arischen	ADJA	arisch
arischen	ADJA	arisch
arme	ADJA	arm
arme	ADJA	arm
armen	ADJA	arm
armen	ADJA	arm
armenische	ADJA	armenisch
armenische	ADJA	armenisch
armenischen	ADJA	armenisch
armenischer	ADJA	armenisch
armer	ADJA	arm
armer	ADJA	arm
Armer	ADJA	arm
ärmlicher	ADJA	ärmlich
armseligen	ADJA	armselig
ärmste	ADJA	arm
ärmsten	ADJA	arm
asketischen	ADJA	asketisch
atmender	ADJA	atmend
attischen	ADJA	attisch
attraktive	ADJA	attraktiv
attraktiver	ADJA	attraktiv
attraktivste	ADJA	attraktiv
aufgedonnerten	ADJA	aufgedonnert
aufgeführten	ADJA	aufgeführt
aufgehende	ADJA	aufgehend
aufgeklärte	ADJA	aufgeklärt
aufgeklärter	ADJA	aufgeklärt
aufgeregte	ADJA	aufgeregt
aufgeregten	ADJA	aufgeregt
aufgeregten	ADJA	aufgeregt
aufgeregter	ADJA	aufgeregt
aufgerührten	ADJA	aufgerührt
aufgeschlossene	ADJA	aufgeschlossen
aufgestiegenen	ADJA	aufgestiegen
aufgetretene	ADJA	aufgetreten
aufgetußte	ADJA	aufgetusst
aufmerksamer	ADJA	aufmerksam
aufopfernde	ADJA	aufopfernd
aufopferungsfähigen	ADJA	aufopferungsfähig
aufopferungsfähiger	ADJA	aufopferungsfähig
aufrechte	ADJA	aufrecht
aufrechten	ADJA	aufrecht
aufrechter	ADJA	aufrecht
aufrichtigen	ADJA	aufrichtig
auftauchenden	ADJA	auftauchend
auftauchender	ADJA	auftauchend
auftretenden	ADJA	auftretend
aufwartenden	ADJA	aufwartend
ausersehene	ADJA	ausersehen
auserwählten	ADJA	auserwählt
ausfragenden	ADJA	ausfragend
ausgebildete	ADJA	ausgebildet
ausgemergelte	ADJA	ausgemergelt
ausgemergelte	ADJA	ausgemergelt
ausgerüsteter	ADJA	ausgerüstet
ausgestatteter	ADJA	ausgestattet
ausgestoßenen	ADJA	ausgestoßen
ausgesuchten	ADJA	ausgesucht
ausgewachsene	ADJA	ausgewachst
ausgewachsener	ADJA	ausgewachst
ausgezehrten	ADJA	ausgezehrt
ausgezeichnete	ADJA	ausgezeichnet
ausgezeichnete	ADJA	ausgezeichnet
ausgezeichneten	ADJA	ausgezeichnet
ausgezeichneter	ADJA	ausgezeichnet
ausgezogene	ADJA	ausgezogen
auslaufenden	ADJA	auslaufend
ausschauende	ADJA	ausschauend
ausscheidenden	ADJA	ausscheidend
ausschlaggebenden	ADJA	ausschlaggebend
ausschreitender	ADJA	ausschreitend
aussehende	ADJA	aussehend
aussehende	ADJA	aussehend
aussehenden	ADJA	aussehend
aussehenden	ADJA	aussehend
aussehender	ADJA	aussehend
außergewöhnlichen	ADJA	außergewöhnlich
außergewöhnlicher	ADJA	außergewöhnlich
außerordentliche	ADJA	außerordentlich
außerordentlichen	ADJA	außerordentlich
außerordentlichen	ADJA	außerordentlich
außerordentlicher	ADJA	außerordentlich
aussichtsreichster	ADJA	aussichtsreich
autarke	ADJA	autark
autobauenden	ADJA	autobauend
autofahrenden	ADJA	autofahrend
badenden	ADJA	badend
balzenden	ADJA	balzend
bärenstarken	ADJA	bärenstark
barmherzigere	ADJA	barhmerzig
bärtige	ADJA	bärtig
bärtigen	ADJA	bärtig
bärtiger	ADJA	bärtig
bartlose	ADJA	bartlos
bartloser	ADJA	bartlos
bayrische	ADJA	bayrisch
bayrischen	ADJA	bayrisch
beauftragten	ADJA	beauftragt
bebende	ADJA	bebend
beberühmte	ADJA	berühmt
bedachte	ADJA	bedacht
bedachter	ADJA	bedacht
bedächtigen	ADJA	bedächtig
bedachtsamen	ADJA	bedachtsam
bedauernswerte	ADJA	bedauernswert
bedauernswerten	ADJA	bedauernswert
bedauernswerten	ADJA	bedauernswert
bedeutende	ADJA	bedeutend
bedeutende	ADJA	bedeutend
Bedeutende	NN	Bedeutende
bedeutenden	ADJA	bedeutend
bedeutenden	ADJA	bedeutend
bedeutendste	ADJA	bedeutend
bedeutendsten	ADJA	bedeutend
bedeutsamen	ADJA	bedeutsam
bedienende	ADJA	bedienend
bedienenden	ADJA	bedienend
bedrängte	ADJA	bedrängt
bedrohte	ADJA	bedroht
beerensuchende	ADJA	beerensuchend
befähigte	ADJA	befähigt
befähigten	ADJA	befähigt
befahrener	ADJA	befahrener
befallenen	ADJA	befallen
befindlichen	ADJA	befindlich
befreundeten	ADJA	befreundet
befreundeten	ADJA	befreundet
begabte	ADJA	begabt
begabte	ADJA	begabt
begabten	ADJA	begabt
begabten	ADJA	begabt
begabter	ADJA	begabt
begabtesten	ADJA	begabt
begehrenswerte	ADJA	begehrenswert
begehrte	ADJA	begehrt
begehrteste	ADJA	begehrt
begeisterte	ADJA	begeistert
begeisterte	ADJA	begeistert
Begeisterte	NN	Begeisterte
begleitende	ADJA	begleitend
begnadete	ADJA	begnadet
begriffenen	ADJA	begriffen
begriffsstutzigen	ADJA	begriffsstutzig
behäbige	ADJA	behäbig
behäbigen	ADJA	behäbig
behaglicher	ADJA	behaglich
behandelnden	ADJA	behandelnd
behangene	ADJA	behangen
behenden	ADJA	behend
beherrschenden	ADJA	beherrschend
beherrschte	ADJA	beherrscht
beherrschte	ADJA	beherrscht
beherzte	ADJA	beherzt
beherzter	ADJA	beherzt
behütenden	ADJA	behütend
behutsamer	ADJA	behutsam
beigesetzten	ADJA	beigesetzt
bejahrte	ADJA	bejahrt
bejahrter	ADJA	bejahrt
bekannte	ADJA	bekannt
bekannte	ADJA	bekannt
bekannten	ADJA	bekannt
bekannten	ADJA	bekannt
beklagenswerten	ADJA	beklagenswert
Beklagenswerter	ADJA	beklagenswert
bekleidender	ADJA	bekleidet
bekleideter	ADJA	bekleideter
belastete	ADJA	belastet
belästigte	ADJA	belästigt
beleibte	ADJA	beleibt
beleibten	ADJA	beleibt
beleibter	ADJA	beleibt
belesener	ADJA	belesen
beleumdeter	ADJA	beleumdet
beliebteste	ADJA	beliebt
bemerkenswerten	ADJA	bemerkenswert
benehmender	ADJA	benehmend
beobachtenden	ADJA	beobachtend
Berechtigte	NN	Berechtigte
beredte	ADJA	beredt
bereiter	ADJA	bereit
bergerfahrene	ADJA	bergerfahren
berittenen	ADJA	bereitet
Berliner	ADJA	Berliner
Berliner	ADJA	Berliner
berüchtigte	ADJA	berüchtigt
berufene	ADJA	berufen
Berufene	NN	Berufene
berufenen	ADJA	berufen
berufenen	ADJA	berufen
berufstätige	ADJA	berufstätig
berufstätigen	ADJA	berufstätig
berufstätigen	ADJA	berufstätig
berufstätiger	ADJA	berufstätig
beruhigte	ADJA	beruhigt
berühmte	ADJA	berühmt
BERÜHMTE	ADJA	berühmt
berühmte	ADJA	berühmt
berühmten	ADJA	berühmt
berühmten	ADJA	berühmt
berühmter	ADJA	berühmt
berühmter	ADJA	berühmt
berühmteste	ADJA	berühmt
berühmtesten	ADJA	berühmt
beschäftigten	ADJA	beschäftigt
beschäftigten	ADJA	beschäftigt
bescheidene	ADJA	bescheiden
bescheidene	ADJA	bescheiden
bescheidener	ADJA	bescheiden
bescheidensten	ADJA	bescheiden
bescheuerte	ADJA	bescheuert
beschränkte	ADJA	beschränkt
beschriebenen	ADJA	beschrieben
beschwerten	ADJA	beschwert
beschwichtigte	ADJA	beschwichtigt
besessenen	ADJA	besessen
besetzte	ADJA	besetzt
besitzenden	ADJA	besitzend
besitzenden	ADJA	besitzend
besonderen	ADJA	besonder
besonnenen	ADJA	besonnen
besonnener	ADJA	besonnener
besorgte	ADJA	besorgt
besorgten	ADJA	besorgt
bessere	ADJA	gut
besseren	ADJA	gut
besserer	ADJA	gut
bestangezogene	ADJA	bestangezogen
beste	ADJA	gut
beste	ADJA	gut
besten	ADJA	gut
besten	ADJA	gut
Bester	ADJA	gut
bestgehaßte	ADJA	bestgehaßt
bestimmende	ADJA	bestimmend
bestimmte	ADJA	bestimmt
bestimmten	ADJA	bestimmt
bestimmter	ADJA	bestimmt
bestrafter	ADJA	bestrafter
betagte	ADJA	betagt
beteiligte	ADJA	beteiligt
beteiligten	ADJA	beteiligt
betr.	APPR	betr.
betraute	ADJA	betraut
betreffende	ADJA	betreffend
betreffende	ADJA	betreffend
betreffenden	ADJA	betreffend
betreffenden	ADJA	betreffend
betreuenden	ADJA	betreuend
betriebsamen	ADJA	betriebsam
betriebstätige	ADJA	betriebstätig
betroffenen	ADJA	betroffen
betroffener	ADJA	betroffen
betrogene	ADJA	betrogen
betrunkene	ADJA	betrunken
betrunkene	ADJA	betrunken
betrunkenen	ADJA	betrunken
betrunkener	ADJA	betrunkener
bettelhafte	ADJA	bettelhaft
bettelnde	ADJA	bettelnd
betuliche	ADJA	betulich
bewaffnete	ADJA	bewaffnet
bewaffnete	ADJA	bewaffnet
bewaffneten	ADJA	bewaffnet
bewaffneter	ADJA	bewaffnet
bewahrenden	ADJA	bewahrend
bewährte	ADJA	bewährt
bewährten	ADJA	bewährt
bewährten	ADJA	bewährt
bewährter	ADJA	bewährt
bewanderte	ADJA	bewandert
bewegenden	ADJA	bewegend
bewegliche	ADJA	beweglich
beweglichen	ADJA	beweglich
beweglicher	ADJA	beweglich
bewegte	ADJA	bewegt
bewegten	ADJA	bewegt
bewirtenden	ADJA	bewirtend
bewundernswerten	ADJA	bewundernswert
bewußtlosen	ADJA	bewusstlos
bezahlter	ADJA	bezahlt
bezaubernde	ADJA	bezaubernd
bezaubernden	ADJA	bezaubernd
bezauberndste	ADJA	bezaubernd
biblischen	ADJA	biblisch
biederen	ADJA	bieder
biederer	ADJA	bieder
bierernsten	ADJA	bierernst
bigotten	ADJA	bigott
Bild	NN	DISCARD
bildhübsche	ADJA	bildhübsch
bildschöne	ADJA	bildschön
bildungsbedürftiger	ADJA	bildungsbedürftig
billigen	ADJA	billig
blasse	ADJA	blass
blasse	ADJA	blass
Blasse	NN	Blasse
blassen	ADJA	blass
blassen	ADJA	blass
blasser	ADJA	blass
bläßlichen	ADJA	blässlich
bleiche	ADJA	bleich
bleichen	ADJA	bleich
bleichen	ADJA	bleich
bleicher	ADJA	bleich
bleichsüchtige	ADJA	bleichsüchtig
blickende	ADJA	blickend
blickenden	ADJA	blickend
blinde	ADJA	blind
blinden	ADJA	blind
blöden	ADJA	blöd
blondbärtigen	ADJA	blondbärtig
blonde	ADJA	blond
Blonde	NN	Blonde
blonden	ADJA	blond
blonden	ADJA	blond
blonder	ADJA	blond
blondhaarige	ADJA	blondhaarig
blühenden	ADJA	blühend
Blutarme	NN	Blutarme
blutenden	ADJA	blutend
blutjunge	ADJA	blutjung
blutleeren	ADJA	blutleer
Bonner	ADJA	Bonner
bornierte	ADJA	borniert
böse	ADJA	böse
bösen	ADJA	böse
böser	ADJA	böse
boshafte	ADJA	boshaft
brauchbaren	ADJA	brauchbar
braune	ADJA	braun
braune	ADJA	braun
braunen	ADJA	braun
braunen	ADJA	braun
brauner	ADJA	braun
brave	ADJA	brav
brave	ADJA	brav
braven	ADJA	brav
braven	ADJA	brav
braver	ADJA	brav
bravste	ADJA	brav
breitbrüstigen	ADJA	breitbrüstig
breiter	ADJA	breit
breitgefestigte	ADJA	breitgefestigt
breitschultrige	ADJA	breitschultrig
breitschultrigen	ADJA	breitschultrig
breitschultriger	ADJA	breitschultrig
brillanteste	ADJA	brillant
brillenscheue	ADJA	brillenscheu
brilletragende	ADJA	brillentragend
