Hit	POS	Lemma
enttäuschter	ADJA	enttäuscht
entwickelnden	ADJA	entwickelnd
entzückende	ADJA	entzückend
entzückenden	ADJA	entzückend
entzückter	ADJA	entzückt
erbitterte	ADJA	erbittert
erektionsfähigen	ADJA	erektionsfähig
erfahrene	ADJA	erfahren
erfahrene	ADJA	erfahren
erfahrenen	ADJA	erfahren
erfahrener	ADJA	erfahrener
erfahreneren	ADJA	erfahren
erfolglose	ADJA	erfolglos
ERFOLGLOSE	NN	erfolglos
erfolgreiche	ADJA	erfolgreich
erfolgreiche	ADJA	erfolgreich
erfolgreichen	ADJA	erfolgreich
erfolgreichste	ADJA	erfolgreich
erfolgreichsten	ADJA	erfolgreich
erfreulicher	ADJD	erfreulich
erfüllter	ADJA	erfüllt
ergebene	ADJA	ergeben
ergebenen	ADJA	ergeben
ergraute	ADJA	ergraut
ergrauter	ADJA	ergraut
ergriffenen	ADJA	ergriffen
erhabene	ADJA	erhaben
erhabenen	ADJA	erhaben
erkalteten	ADJA	erkaltet
erkennende	ADJA	erkennend
erklärenden	ADJA	erklärend
erlauchte	ADJA	erlaucht
erledigter	ADJA	erledigt
ermordete	ADJA	ermordet
ermordeten	ADJA	ermordet
ernste	ADJA	ernst
ernsten	ADJA	ernst
ernster	ADJA	ernst
ernsthafte	ADJA	ernsthaft
ernststrebenden	ADJA	ernststrebend
eröffnete	ADJA	eröffnet
erprobte	ADJA	erprobt
erregte	ADJA	erregt
erreichbaren	ADJA	erreichbar
erscheinende	ADJA	erscheinend
erscheinenden	ADJA	erscheinend
erschienene	ADJA	erschienen
erschöpfte	ADJA	erschöpft
erschrockenen	ADJA	erschreckt
erschte	ADJA	erst
erstaunliche	ADJA	erstaunlich
erstaunlicher	ADJD	erstaunlich
erstaunten	ADJA	erstaunt
erstaunten	ADJA	erstaunt
erste	ADJA	erst
Erste	ADJA	erst
erste	ADJA	erst
erstechende	ADJA	erstechend
ersten	ADJA	erst
ersten	ADJA	erst
ERSTEN	NN	Erste
erster	ADJA	erst
erster	ADJA	erst
erstklassigen	ADJA	erstklassig
ertrunkene	ADJA	ertrunken
erwachsene	ADJA	erwachsen
erwachsene	ADJA	erwachsen
erwachsenen	ADJA	erwachsen
erwachsenen	ADJA	erwachsen
erwachsener	ADJA	erwachsen
erwähnte	ADJA	erwähnt
erwähnten	ADJA	erwähnt
erwartete	ADJA	erwartet
erwerbende	ADJA	erwerbend
erwerbenden	ADJA	erwerbend
erwerbstätigen	ADJA	erwerbstätig
erwerbstätiger	ADJA	erwerbstätig
erzählte	ADJA	erzählt
erzogener	ADJA	erzogener
essende	ADJA	essend
essender	ADJA	essend
estnischer	ADJA	estnisch
europäische	ADJA	europäisch
europäischen	ADJA	europäisch
evangelisch-treuer	ADJA	evangelisch-treu
evangelische	ADJA	evangelisch
evangelischen	ADJA	evangelisch
extravertierten	ADJA	extrovertiert
fabelhafte	ADJA	fabelhaft
fabelhafter	ADJA	fabelhaft
fachkundiger	ADJA	fachkundig
fähige	ADJA	fähig
fähiger	ADJA	fähig
fähigste	ADJA	fähig
fahrenden	ADJA	fahrend
fallende	ADJA	fallend
falsch-mondänen	ADJA	falsch-mondän
falschen	ADJA	FALSE
familiärer	ADJA	familiär
famose	ADJA	famos
fanatische	ADJA	fanatisch
fanatischen	ADJA	fanatisch
Farbenblinde	ADJA	farbenblind
Färbers	NN	Färber
farbigen	ADJA	farbig
farbigen	ADJA	farbig
farblose	ADJA	farblos
farblosen	ADJA	farblos
farbsichtige	ADJA	farbsichtig
faszinierende	ADJA	faszinierend
fauler	ADJA	faul
fechtenden	ADJA	fechtend
feine	ADJA	fein
feine	ADJA	fein
feinen	ADJA	fein
feinen	ADJA	fein
feiner	ADJA	fein
feiner	ADJA	fein
feinfühlende	ADJA	feinfühlend
feinfühlige	ADJA	feinfühlig
feinfühligen	ADJA	feinfühlig
feingebildete	ADJA	feingebildet
feister	ADJA	feist
felddienstfähiger	ADJA	felddienstfähig
fertige	ADJA	fertig
fesche	ADJA	fesch
feschen	ADJA	fesch
fescher	ADJA	fesch
fesselnde	ADJA	fesselnd
fette	ADJA	fett
fette	ADJA	fett
feurige	ADJA	feurig
feurigen	ADJA	feurig
fiebzigjährige	ADJA	n-jährig
fiern	NN	DISCARD
findige	ADJA	findig
fleischige	ADJA	fleischig
fleischigen	ADJA	fleischig
fleißige	ADJA	fleißig
fleißigen	ADJA	fleißig
fleißiger	ADJA	fleißig
flotte	ADJA	flott
fluchenden	ADJA	fluchend
flüchtenden	ADJA	flüchtend
folgende	ADJA	folgend
folgsamen	ADJA	folgsam
forscher	ADJA	forsch
fortgehenden	ADJA	fortgehend
fortschleppenden	ADJA	fortschleppend
fragende	ADJA	fragend
fragenden	ADJA	fragend
Frankfurter	ADJA	Frankfurter
französisch-sprechende	ADJA	französischsprechend
französische	ADJA	französisch
französischen	ADJA	französisch
französischen	ADJA	französisch
französlichen	ADJA	französlich
frauenlosen	ADJA	frauenlos
freche	ADJA	frech
freidenkende	ADJA	freidenkend
freie	ADJA	frei
freie	ADJA	frei
freien	ADJA	frei
freien	ADJA	frei
freier	ADJA	frei
freiere	ADJA	frei
freiheitsliebenden	ADJA	freiheitsliebend
freisinnigen	ADJA	freisinnig
freisinniger	ADJA	freisinnig
fremdbürtigen	ADJA	fremdbürtig
fremde	ADJA	fremd
fremde	ADJA	fremd
fremden	ADJA	fremd
fremden	ADJA	fremd
fremder	ADJA	fremd
freundliche	ADJA	freundlich
freundlichen	ADJA	freundlich
freundlicher	ADJA	freundlich
friedfertiger	ADJA	friedfertig
friedlicher	ADJA	friedlich
friedliebenden	ADJA	friedliebend
frischen	ADJA	frisch
frischgebackene	ADJA	frischgebacken
frohe	ADJA	froh
fröhliche	ADJA	fröhlich
fröhlicher	ADJA	fröhlich
fromme	ADJA	fromm
fromme	ADJA	fromm
frommen	ADJA	fromm
frommen	ADJA	fromm
frommer	ADJA	fromm
früheren	ADJA	früh
früheren	ADJA	früh
früherer	ADJA	früh
frumm	ADJA	fromm
frustrierten	ADJA	frustriert
fügsame	ADJA	fügsam
fühlende	ADJA	fühlend
führende	ADJA	führend
Führende	NN	Führende
führenden	ADJA	führend
füllige	ADJA	füllig
fünfte	ADJA	fünft
fünfunddreißigjährigen	ADJA	n-jährig
fünfzigjährige	ADJA	n-jährig
fünfzigjährigen	ADJA	n-jährig
furchtbaren	ADJA	furchtbar
furchtsame	ADJA	furchtsam
fürstlichen	ADJA	fürstlich
fürstlicher	ADJA	fürstlich
fürstlicher	ADJA	fürstlich
galanter	ADJA	galant
ganze	ADJA	ganz
ganze	ADJA	ganz
ganzen	ADJA	ganz
ganzer	ADJA	ganz
ganzheitlichharmonische	ADJA	ganzheitlich-harmonisch
garstigen	ADJA	garstig
geachtete	ADJA	geachtet
geachteten	ADJA	geachtet
geachtetsten	ADJA	geachtet
gealterte	ADJA	gealtert
gealterter	ADJA	gealtert
geängstigten	ADJA	geängstigt
gearteten	ADJA	geartet
gebannten	ADJA	gebannt
gebärenden	ADJA	gebärend
gebaute	ADJA	gebaut
gebauten	ADJA	gebaut
gebauter	ADJD	gebaut
gebeugte	ADJA	gebeugt
gebeugten	ADJA	gebeugt
gebeugter	ADJA	gebeugt
gebildete	ADJA	gebildet
gebildete	ADJA	gebildet
gebildeten	ADJA	gebildet
gebildeten	ADJA	gebildet
gebildeter	ADJA	gebildet
gebliebene	ADJA	geblieben
geborene	ADJA	geboren
geborenen	ADJA	geboren
gebrachten	ADJA	gebracht
gebräunte	ADJA	gebräunt
gebräunten	ADJA	gebräunt
gebrechlichen	ADJA	gebrechlich
gebrochene	ADJA	gebrochen
gebrochenen	ADJA	gebrochen
gebrochener	ADJA	gebrochen
gebückter	ADJA	gebückt
gebürtigen	ADJA	gebürtig
gebürtiger	ADJA	gebürtig
gedienten	ADJA	gedient
gedruckten	ADJA	gedruckt
gedrückten	ADJA	gedrückt
gedrungene	ADJA	gedrungen
gedrungener	ADJA	gedrungen
geduldige	ADJA	geduldig
geduldiger	ADJA	geduldig
geehrte	ADJA	geehrt
Geehrte	ADJA	geehrt
geehrten	ADJA	geehrt
geeignete	ADJA	geeignet
geeignete	ADJA	geeignet
geeigneten	ADJA	geeignet
geeigneteren	ADJA	geeignet
gefährliche	ADJA	gefährlich
gefallenen	ADJA	gefallen
gefälligen	ADJA	gefällig
gefangenen	ADJA	gefangen
gefangenen	ADJA	gefangen
gefeierten	ADJA	gefeiert
geflüchteten	ADJA	geflüchtet
geflügelten	ADJA	geflügelt
geformten	ADJA	geformt
gefügigeren	ADJA	gefügig
gefühlvolle	ADJA	gefühlvoll
gefundenen	ADJA	gefunden
gefürchtete	ADJA	gefürchtet
gefürchteten	ADJA	gefürchtet
gegebene	ADJA	gegeben
gegenwärtige	ADJA	gegenwärtig
geglaubte	ADJA	geglaubt
gehärteten	ADJA	gehärtet
gehaßt-geliebten	ADJA	gehasst-geliebt
gehaßten	ADJA	gehaßt
geheimnisvollen	ADJA	geheimnisvoll
gehende	ADJA	gehend
gehenden	ADJA	gehend
gehenden	ADJA	gehend
gehender	ADJA	gehend
gehörige	ADJA	gehörig
gehörnter	ADJA	gehörnt
gehorsame	ADJA	gehorsam
gehüllte	ADJA	gehüllt
gehüllten	ADJA	gehüllt
geiernäsige	ADJA	geiernäsig
geistesgestörter	ADJA	geistesgestört
geisteskranker	ADJA	geisteskrank
geistesüberlegenen	ADJA	geistesüberlegen
geistige	ADJA	geistig
geistigen	ADJA	geistig
geistreiche	ADJA	geistreich
geistreiche	ADJA	geistreich
geistreichen	ADJA	geistreich
geistreichen	ADJA	geistreich
geistreicher	ADJA	geistreich
geistsprühende	ADJA	geistsprühend
geistvolle	ADJA	geistvoll
geistvollen	ADJA	geistvoll
geistvolleren	ADJA	geistvoll
geistvollste	ADJA	geistvoll
geizige	ADJA	geizig
geiziger	ADJA	geizig
gekaufte	ADJA	gekauft
gekleidete	ADJA	gekleidet
gekleidete	ADJA	gekleidet
gekleideten	ADJA	gekleidet
gekleideten	ADJA	gekleidet
gekleideter	ADJA	gekleidet
geknechtete	ADJA	geknechtet
gekreuzigten	ADJA	gekreuzigt
gekrönten	ADJA	gekrönt
geladene	ADJA	geladen
gelähmten	ADJA	gelähmt
gelangweilter	ADJA	gelangweilt
gelassene	ADJA	gelassen
gelassenen	ADJA	gelassen
gelbe	ADJA	gelb
gelbliche	ADJA	gelblich
gelehrte	ADJA	gelehrt
gelehrten	ADJA	gelehrt
gelehrten	ADJA	gelehrt
gelehrter	ADJA	gelehrt
gelehrtesten	ADJA	gelehrt
geliebte	ADJA	geliebt
geliebte	ADJA	geliebt
Geliebte	NN	geliebt
geliebten	ADJA	geliebt
geliebten	ADJA	geliebt
geliebter	ADJA	geliebt
gelieferter	ADJA	geliefert
geltenden	ADJA	geltend
geltenden	ADJA	geltend
gemachte	ADJA	gemacht
gemachten	ADJA	gemacht
gemachter	ADJA	gemacht
gemarterte	ADJA	gemartert
gemarterten	ADJA	gemartert
gemäßigte	ADJA	gemäßigt
gemeine	ADJA	gemein
gemeine	ADJA	gemein
gemeinen	ADJA	gemein
gemeinte	ADJA	gemeint
gemiedene	ADJA	gemieden
gemütlicher	ADJA	gemütlich
genannte	ADJA	genannt
genannten	ADJA	genannt
geneigten	ADJA	geneigt
geniale	ADJA	genial
geniale	ADJA	genial
genialen	ADJA	genial
genialen	ADJA	genial
genialer	ADJA	genial
genommene	ADJA	genommen
genommenen	ADJA	genommen
genossene	ADJA	genossen
genügsamen	ADJA	genügsam
gepackter	ADJA	gepackter
gepeitschten	ADJA	gepeitscht
gepflegte	ADJA	gepflegt
gepflegte	ADJA	gepflegt
gepflegten	ADJA	gepflegt
gepflegten	ADJA	gepflegt
geplagten	ADJA	geplagt
geplagten	ADJA	geplagt
geprägte	ADJA	geprägt
gequälte	ADJA	gequält
geratenen	ADJA	geraten
gerechte	ADJA	gerecht
gerechte	ADJA	gerecht
gereifte	ADJA	gereift
gereifte	ADJA	gereift
gereiften	ADJA	gereift
gereiften	ADJA	gereift
gereifter	ADJA	gereift
geretteten	ADJA	gerettet
geretteten	ADJA	gerettet
gerichteter	ADJA	gerichtet
geringen	ADJA	gering
gerissene	ADJA	gerissen
germanische	ADJA	germanisch
germanischen	ADJA	germanisch
gerüsteten	ADJA	gerüstet
geschädigte	ADJA	geschädigt
Geschädigte	NN	geschädigt
geschäftigen	ADJA	geschäftig
geschäftserfahrene	ADJA	geschäftserfahren
geschäftstüchtige	ADJA	geschäftstüchtig
gescheite	ADJA	gescheit
gescheite	ADJA	gescheit
gescheiten	ADJA	gescheit
gescheiter	ADJA	gescheit
gescheiter	ADJA	gescheit
geschichtemachender	ADJA	geschichtemachend
geschickte	ADJA	geschickt
geschickte	ADJA	geschickt
geschickten	ADJA	geschickt
geschickter	ADJA	geschickt
geschiedene	ADJA	geschieden
Geschiedene	NN	geschieden
geschiedenen	ADJA	geschieden
geschiedenen	ADJA	geschieden
geschiedener	ADJA	geschiedener
geschilderte	ADJA	geschildert
geschlagenen	ADJA	geschlagen
geschlagener	ADJA	geschlagen
geschlechtsfunktionierenden	ADJA	geschlechtsfunktionierend
geschlechtskranken	NN	geschlehtskrank
geschlechtsreifen	ADJA	geschlechtsreif
geschminkte	ADJA	geschminkt
geschminkteste	ADJA	geschminkt
geschmückten	ADJA	geschmückt
geschniegelten	ADJA	geschniegelt
geschonte	ADJA	geschont
geschulte	ADJA	geschult
geschulten	ADJA	geschult
geschützten	ADJA	geschützt
geschwächte	ADJA	geschwächt
geschwängerte	ADJA	geschwängert
geschwätzigen	ADJA	geschwätzig
gesegneter	ADJA	gesegnet
gesehene	ADJA	gesehen
gesellige	ADJA	gesellig
gesetzten	ADJA	gesetzt
gesetzter	ADJA	gesetzt
gesicherter	ADJA	gesichert
gesicherter	ADJA	gesichert
gesprächsfeindlicher	ADJA	gesprächsfeindlich
gestandener	ADJA	gestanden
gestellten	ADJA	gestellt
gestellter	ADJA	gestellt
gestorbene	ADJA	gestorben
gestorbener	ADJA	gestorbener
gestreifte	ADJA	gestreift
gestrengen	ADJA	gestreng
gestützte	ADJA	gestützt
gesuchten	ADJA	gesucht
gesunde	ADJA	gesund
gesunde	ADJA	gesund
gesunden	ADJA	gesund
gesunden	ADJA	gesund
gesunder	ADJA	gesund
gesunder	ADJA	gesund
gesündesten	ADJA	gesund
getadelte	ADJA	getadelt
getäuschten	ADJA	getäuscht
getöteten	ADJA	getötet
getöteten	ADJA	getötet
getrenntlebende	ADJA	getrenntlebend
getriebene	ADJA	getrieben
getroffenen	ADJA	getroffen
gewachsene	ADJA	gewachst
gewachsene	ADJA	gewachst
gewachsener	ADJA	gewachst
gewählte	ADJA	gewählt
gewählten	ADJA	gewählt
gewählten	ADJA	gewählt
gewaltigen	ADJA	gewaltig
gewalttätigen	ADJA	gewalttätig
gewalttätiger	ADJA	gewalttätig
gewandten	ADJA	gewandt
gewesene	ADJA	gewesen
gewickelte	ADJA	gewickelt
gewiegter	ADJA	gewiegt
gewisse	ADJA	gewiss
gewisse	ADJA	gewiss
gewissenhaften	ADJA	gewissenhaft
gewissenhafter	ADJA	gewissenhaft
gewissenlosen	ADJA	gewissenlos
gewöhnliche	ADJA	gewöhnlich
gewöhnlichen	ADJA	gewöhnlich
gewöhnlichen	ADJA	gewöhnlich
gewöhnlicher	ADJA	gewöhnlich
gewordene	ADJA	geworden
gewordenen	ADJA	worden
gewordenen	ADJA	worden
gewürdigter	ADJA	gewürdigt
gezeichnete	ADJA	gezeichnet
giebt	ADJA	DISCARD
gläsernen	ADJA	gläsern
glattrasierter	ADJA	glattrasiert
glatzköpfiger	ADJA	glatzköpfig
glaubensstarke	ADJA	glaubensstark
gläubiger	ADJA	gläubig
glaubwürdige	ADJA	glaubwürdig
gleichaltrige	ADJA	gleichaltrig
gleiche	ADJA	gleich
gleichen	ADJA	gleich
gleichen	ADJA	gleich
gleichgesinnten	ADJA	gleichgesinnt
gleichwertigen	ADJA	gleichwertig
glückliche	ADJA	glücklich
glückliche	ADJA	glücklich
glücklichen	ADJA	glücklich
glücklicher	ADJA	glücklich
Glücklicher	NN	glücklich
glühender	ADJA	glühend
gmeinen	NN	gemein
gnä	ADJA	gnädig
gnä	ADJA	gnädig
gnädige	ADJA	gnädig
Gnädige	NN	gnädig
gnädigen	ADJA	gnädig
Gnädigen	NN	gnädig
gnädigste	ADJA	gnädig
Gnädigste	NN	gnädig
goldblonden	ADJA	goldblond
goldenen	ADJA	golden
goldhaarige	ADJA	goldhaarig
gottesfürchtiger	ADJA	gottesfürchtig
gottgegebener	ADJA	gottgeheben
göttlichen	ADJA	göttlich
göttlichen	ADJA	göttlich
grau-weißhaarigen	ADJA	grau-weißhaarig
graubärtiger	ADJA	graubärtig
graue	ADJA	grau
graue	ADJA	grau
grauhaarige	ADJA	grauhaarig
grauhaarige	ADJA	grauhaarig
grauhaarigen	ADJA	grauhaarig
grauhaariger	ADJA	grauhaarig
graustoppelige	ADJA	graustoppelig
greiser	ADJA	greis
griechische	ADJA	griechisch
griechischen	ADJA	griechisch
griechischer	ADJA	griechisch
großäugige	ADJA	großäugig
große	ADJA	groß
Große	ADJA	groß
große	ADJA	groß
Große	NN	groß
großen	ADJA	groß
großen	ADJA	groß
großer	ADJA	groß
Großer	NN	groß
größere	ADJA	groß
größte	ADJA	groß
größten	ADJA	groß
größten	ADJA	groß
großzahnigen	ADJA	großzahnig
großzügiger	ADJA	großzügig
gründliche	ADJA	gründlich
grundverschiedenen	ADJA	grundverschieden
grüne	ADJA	grün
grunzende	ADJA	grunzend
Gundulas	NE	DISCARD
gutangezogene	ADJA	gutangezogen
gutartigen	ADJA	gutartig
gutaussehende	ADJA	gutaussehend
gute	ADJA	gut
gute	ADJA	gut
guten	ADJA	gut
guten	ADJA	gut
gutentwickelten	ADJA	gutentwickelt
guter	ADJA	gut
guterzogenen	ADJA	guterzogen
gutgekleideten	ADJA	gutgekleidet
gutgekleideter	ADJA	gutgekleidet
gutgewachsenen	ADJA	gutgewachst
gutherzige	ADJA	gutherzig
gutherzigen	ADJA	gutherzig
gütige	ADJA	gütig
gütigen	ADJA	gütig
gütigen	ADJA	gütig
gütiger	ADJA	gütig
gutmütige	ADJA	gutmütig
gutmütiger	ADJA	gutmütig
gutmütiger	ADJA	gutmütig
habgierigen	ADJA	habgierig
habsburgischer	ADJA	habsburgisch
hagere	ADJA	hager
hagere	ADJA	hager
hageren	ADJA	hager
hageren	ADJA	hager
hagerer	ADJA	hager
halbe	ADJA	halb
halben	ADJA	halb
halbfarbige	ADJA	halbfarbig
halbfremden	ADJA	halbfremd
halbjüdischen	ADJA	halbjüdisch
halbnackten	ADJA	halbnackt
halbzerschossenen	ADJA	halbzerschossen
halslosen	ADJA	halslos
haltenden	ADJA	haltend
haltloser	ADJA	haltlos
handeltreibende	ADJA	handeltreibend
handfeste	ADJA	handfest
hängende	ADJA	hängend
harmloser	ADJA	harmlos
harrenden	ADJA	harrend
harte	ADJA	hart
harte	ADJA	hart
harten	ADJA	hart
harten	ADJA	hart
harter	ADJA	hart
härteren	ADJA	hart
hartgeprüfter	ADJA	hartgeprüft
hartnäckigsten	ADJA	hartnäckig
häßliche	ADJA	hässlich
häßliche	ADJA	hässlich
häßlichen	ADJA	hässlich
häßlichen	ADJA	hässlich
häßlichsten	ADJA	hässlich
haushälterische	ADJA	haushälterisch
haushälterischer	ADJA	haushälterisch
heidnische	ADJA	heidnisch
heilige	VVFIN	heilig
heiligen	ADJA	heilig
heiligen	ADJA	heilig
heimgekehrten	ADJA	heimgekehrt
heimkehrenden	ADJA	heimkehrend
heiratende	ADJA	heiratend
heiratsfähige	ADJA	heiratsfähig
heiserer	ADJA	heiser
heißgeliebte	ADJA	heißgeliebt
heißgeliebten	ADJA	heißgeliebt
heitere	ADJA	heiter
heldenhaften	ADJA	heldenhaft
heldenmütigen	ADJA	heldenmütig
heldischen	ADJA	heldisch
helläugiger	ADJA	helläugig
helle	ADJA	hell
hellhäutige	ADJA	hellhäutig
hellsehenden	ADJA	hellsehend
hemdärmeliger	ADJA	hemdsärmelig
hemdsärmelige	ADJA	hemdsärmelig
hemmungslose	ADJA	hemmungslos
herantretenden	ADJA	herantretend
herbeigeeilte	ADJA	herbeigeeilt
herbeigerufene	ADJA	herbeigerufen
herben	ADJA	herb
herlaufende	ADJA	herlaufend
herrische	ADJA	herrisch
herrischen	ADJA	herrisch
herrliche	ADJA	herrlich
herrlichen	ADJA	herrlich
herrlichen	ADJA	herrlich
herrlicher	ADJA	herrlich
herrlichsten	ADJA	herrlich
herrschende	ADJA	herrschend
herrschenden	ADJA	herrschend
herrschsüchtige	ADJA	herrschsüchtig
herrschsüchtigen	ADJA	herrschsüchtig
hervorragende	ADJA	hervorragend
hervorragenden	ADJA	hervorragend
hervorragender	ADJA	hervorragend
hervorragendsten	ADJA	hervorragend
herzensgute	ADJA	herzensgut
herzensguter	ADJA	herzensgut
herzkranker	ADJA	herzkrank
herzleidende	ADJA	herzleidend
Herzliebe	NN	herzlieb
Herzliebste	NN	herzlieb
herzlosen	ADJA	herzlos
heulenden	ADJA	heulend
heutigen	ADJA	heutig
hilflose	ADJA	hilflos
hilflose	ADJA	hilflos
hilflosen	ADJA	hilflos
hilfsbereite	ADJA	hilfsbereit
hilfsbereiter	ADJA	hilfsbereiter
himmlische	ADJA	himmlisch
himmlischen	ADJA	himmlisch
hingebende	ADJA	hingebend
hingebungsfähige	ADJA	hingebungsfähig
hingekegelten	ADJA	hingekegelt
hingemordeten	ADJA	hingemordet
hingerissenen	ADJA	hingerissen
hinkende	ADJA	hinkend
hinkenden	ADJA	hinkend
hinkender	ADJA	hinkend
hinterbliebenen	ADJA	hinterblieben
hinterbliebener	ADJA	hinterblieben
hochachtbare	ADJA	hochachtbar
hochangesehenen	ADJA	hochangesehen
hochbegabte	ADJA	hochbegabt
hochberühmter	ADJA	hochberühmt
hochbetagte	ADJA	hochbetagt
hochelegante	ADJA	hochelegant
hochfreisinniger	ADJA	hochfreisinnig
hochgeachteter	ADJA	hochgeachtet
hochgebildeten	ADJA	hochgebildet
hochgebildeter	ADJA	hochgebildet
hochgeborenen	ADJA	hochgeboren
hochgeehrte	ADJA	hochgeehrt
Hochgeehrte	NN	hochgeehrt
hochgeehrten	ADJA	hochgeehrt
hochgelehrte	ADJA	hochgelehrt
hochgestellten	ADJA	hochgestellt
hochgestellter	ADJA	hochgestellt
hochgewachsene	ADJA	hochgewachst
hochgewachsenen	ADJA	hochgewachst
hochgewachsener	ADJA	hochgewachst
hochherzige	ADJA	hochherzig
hochherzige	ADJA	hochherzig
hochherzigen	ADJA	hochherzig
hochkonservativen	ADJA	hochkonservativ
hochmögenden	ADJA	hochmögend
hochmütige	ADJA	hochmütig
hochschulgebildeten	ADJA	hochschulgebildet
hochschwangere	ADJA	hochschwangre
hochschwangeren	ADJA	hochschwangre
hochselige	ADJA	hochselig
hochseligen	ADJA	hochselig
hochsinnige	ADJA	hochsinnig
hochsinnigen	ADJA	hochsinnig
hochstehenden	ADJA	hochstehend
hochstehender	ADJA	hochstehend
hochtalentierten	ADJA	hochtalentiert
hochverdienten	ADJA	hochverdient
Hochverdienten	NN	hochverdient
hochverdienter	ADJA	hochverdient
hochverehrte	ADJA	hochverehrt
Hochverehrte	NN	hochverehrt
hochverehrten	VVFIN	hochverehrt
Hochwürdigste	NN	hochwürdig
hoffähigen	ADJA	hoffähig
hoffende	ADJA	hoffend
hoffenden	ADJA	hoffend
höfliche	ADJA	höflich
höfliche	ADJA	höflich
höflicher	ADJA	höflich
hohe	ADJA	hoch
hohen	ADJA	hoch
Hohen	NN	hoch
hoher	ADJA	hoch
höheren	ADJA	hoch
höherstehenden	ADJA	höherstehend
holde	ADJA	hold
holländische	ADJA	holländisch
holländischen	ADJA	holländisch
holzsammelnde	ADJA	holzsammelnd
homosexuellen	ADJA	homosexuell
Honeggers	NN	DISCARD
honetten	NN	honett
horchende	ADJA	horchend
horchenden	ADJA	horchend
Horraths	NN	DISCARD
hübsche	ADJA	hübsch
Hübsche	NN	hübsch
hübschen	ADJA	hübsch
hübschen	ADJA	hübsch
hübschere	ADJA	hübsch
humorvollen	ADJA	humorvoll
humorvoller	ADJA	humorvoll
humpelnde	ADJA	humpelnd
humpelnden	ADJA	humpelnd
hunderten	NN	DISCARD
hundertjährigen	ADJA	n-jährig
hungernden	ADJA	hungernd
hungrigen	ADJA	hungrig
hutloser	ADJA	hutlos
hysterische	ADJA	hysterisch
hysterischen	ADJA	hysterisch
hysterischer	ADJA	hysterisch
I.	NE	DISCARD
ichbefangene	ADJA	ichbefangen
ideale	ADJA	ideal
idealen	ADJA	ideal
idealer	ADJA	ideal
idealistischen	ADJA	idealistisch
illustren	ADJA	illuster
imponierender	ADJA	imponierend
indianischen	ADJA	indianisch
Indische	NN	indisch
inhaftierten	ADJA	inhaftiert
inländische	ADJA	inländisch
inniggeliebte	ADJA	inniggeliebt
innigstgeliebte	ADJA	inniggeliebt
intellektuelle	ADJA	intellektuell
intelligente	ADJA	intelligent
intelligente	ADJA	intelligent
intelligenten	ADJA	intelligent
interessante	ADJA	interessant
interessante	ADJA	interessant
interessanter	ADJA	interessant
interessanter	ADJA	interessant
interessanteste	ADJA	interessant
interessanteste	ADJA	interessant
interessantesten	ADJA	interessant
introvertierte	ADJA	introvertiert
introvertierte	ADJA	introvertiert
introvertierten	ADJA	introvertiert
introvertierten	ADJA	introvertiert
introvertierter	ADJA	introvertiert
iranische	ADJA	iranisch
irdische	ADJA	irdisch
irdischen	ADJA	irdisch
irdischen	ADJA	irdisch
irgendwelchen	PIAT	irgendwelche
irreligiöser	ADJA	irreligiös
irren	ADJA	irre
isolierter	ADJA	isolierter
italienische	ADJA	italienisch
italienische	ADJA	italienisch
italienischem	ADJA	italienisch
Jägermeisters	NN	DISCARD
jährige	ADJA	n-jährig
jammernden	ADJA	jammernd
japanische	ADJA	japanisch
japanischen	ADJA	japanisch
japanischen	ADJA	japanisch
jebillte	ADJA	gebildete
jedlicher	ADJA	DISCARD
jetzige	ADJA	jetzig
jetzige	ADJA	jetzig
jetzigen	ADJA	jetzig
jetziger	ADJA	jetzig
Jörys	NE	DISCARD
jüdische	ADJA	jüdisch
jüdische	ADJA	jüdisch
jüdischen	ADJA	jüdisch
jüdischen	ADJA	jüdisch
jüdischer	ADJA	jüdisch
jugendliche	ADJA	jugendlich
jugendlichen	ADJA	jugendlich
junge	ADJA	jung
junge	ADJA	jung
Junge	NN	jung
Junge	NN	jung
jungem	ADJA	jung
jungen	ADJA	jung
jungen	ADJA	jung
Jungen	NN	jung
junger	ADJA	jung
junger	ADJA	jung
Junger	NN	jung
jüngere	ADJA	jung
jüngere	ADJA	jung
jüngeren	ADJA	jung
jüngeren	ADJA	jung
jüngerer	ADJA	jung
jüngerer	ADJA	jung
jungverheiratete	ADJA	jungverheiratet
kaiserlichen	ADJA	kaiserlich
kalte	ADJA	kalt
Kalte	NN	kalt
kalter	ADJA	kalt
kälteste	ADJA	kalt
kämmende	ADJA	kämmend
kämpfende	ADJA	kämpfend
kämpfenden	ADJA	kämpfend
kämpfenden	ADJA	kämpfend
kämpfender	ADJA	kämpfend
kampferprobten	ADJA	kampferprobt
kapitalkräftigen	ADJA	kapitalkräftig
kastilischen	ADJA	kastilisch
kastrierten	VVFIN	kastriert
katholische	ADJA	katholisch
katholischen	ADJA	katholisch
katholischen	ADJA	katholisch
katholischer	ADJA	katholisch
katholischer	ADJA	katholisch
Katholischer	NN	katholisch
kauernde	ADJA	kauernd
käuflichen	ADJA	käuflich
keene	ADJA	DISCARD
keifenden	ADJA	keifend
Kerls	NN	DISCARD
kerngesunde	ADJA	kerngesund
kettenrauchende	ADJA	kettenrauchend
