"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"1","1978-04-21","Zeitung","Die Zeit, 21.04.1978, Nr. 17","Im Innern lesen wir, daß Solschenizyns Archipel Gulag – drei Bände lang – „die Menschen über den realen Sozialismus belügt“ – und","verboten","gehört."
"2","1995-07-14","Zeitung","Die Zeit, 14.07.1995, Nr. 29","Aber Bundesgerichtshof und Benetton-Händler sind sich einig darin, daß die Verbindung von Geschäft und Moral","verboten","gehört."
"3","1996-08-02","Zeitung","Die Zeit, 02.08.1996, Nr. 32","Darum gibt es so scheußliche Unfallstatistiken und einen Düsseldorfer SPD-Politiker, der findet, daß Motorradfahren","verboten","gehört."
"4","2008-08-22","Zeitung","Die Zeit, 22.08.2008, Nr. 35","Auch Gillis macht Musik, die nach Ansicht einiger Rechtsanwälte","verboten","gehört."
"5","2011-11-29","Zeitung","Die Zeit, 29.11.2011 (online)","Dass zum Beispiel die NPD","verboten","gehört, darauf können sich in Deutschland fast alle Menschen guten Willens einigen – was, nebenbei, ein Glück ist."
"6","2011-12-06","Zeitung","Die Zeit, 06.12.2011, Nr. 49","Sachsen-Anhalts Innenminister Holger Stahlknecht (CDU) äußerte die Hoffnung, in Wiesbaden werde ""Übereinstimmung herrschen, dass die NPD","verboten","gehört""."
"7","2012-12-03","Zeitung","Die Zeit, 03.12.2012, Nr. 49","Kurzum, dass sie","verboten","gehört."
"8","2013-02-26","Zeitung","Die Zeit, 26.02.2013, Nr. 9","Denn es geht in dieser Frage einzig darum, höchstrichterlich entscheiden zu lassen, ob die rechtsextreme Partei so aggressiv und kämpferisch gegen die bestehende Ordnung agitiert, dass sie","verboten","gehört."
"9","2015-02-20","Zeitung","Die Zeit, 20.02.2015, Nr. 8","Gerade das Verbot gibt seit Jahrzehnten dem Buch wie seinem Autor eine Überhöhung und lieferte somit eine moralische Entschuldung der Deutschen, da sie ja nur auf einen Verführer ungeheuren Ausmaßes hereingefallen sind, eines Gedankengutes – so gefährlich, dass es heutzutage noch","verboten","gehört."""
