Jahr;Eigennamen;Nomina_sacra;Personenbezeichnungen;Konkreta;Abstrakta
1500;0.59;0;0.11;0.04;0.02
1530;0.74;0.68;0.34;0.08;0.05
1560;0.97;0.9;0.72;0.4;0.18
1590;0.96;0.99;0.91;0.84;0.5
1620;0.98;0.99;0.96;0.91;0.66
1650;0.99;1;0.93;0.93;0.72
1680;0.99;1;0.96;0.99;0.87
1710;0.99;1;0.98;0.94;0.88
