Nr;Text_vorher;UNG;Text_danach;Textstelle;Sprachraum;Jahr;Textsorte;Textstelle5;Erstglied;Lemma;NOM_V;FVG;Fremdwortbasis;Praefix;Numerus;Simplexbasis;Konstruktion;als_praep_Kompl;Prep_Det_Nom;Adj;Genitiv;Det;Prep;Anmerkungen
415;gleichen/ zugefallen/ allerley Posturen/ allerley ;abbildungen; Maenschlicher gestalt vnd  Leiber mahlen/ dahero d;WOBD-1650-KT-097.txt;WOBD;1650;KT;097.txt;NA;Abbildung;NA;NA;NEIN;ab;PL;NEIN;DET_NOM;NEIN;NA;NA;postnom;s;NA;NA
1227;stattet/  und er also auf keinerley Weise mit der ;Abbildung; fortkommen koennen/ soll der Heyland seyn bewogen ;OMD-1710-KT-137.txt;OMD;1710;KT;137.txt;NA;Abbildung;NA;NA;NEIN;ab;SG;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;b;mit;NA
1154;ns alle bekehren/  lieber HErre GOtt! Amen.   <h1>;Abhandlung;.</h1>  ES hat das unheilige Papstthum/  meine Lie;OMD-1680-KT-neu.txt;OMD;1680;KT;neu.txt;NA;Abhandlung;NA;NA;NEIN;ab;SG;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
1165;uns alle bekehren/  liebe HErre GOTT! Amen.   <h1>;Abhandlung;.</h1> SO erhellet demnach das verruchte und gottl;OMD-1680-KT-neu.txt;OMD;1680;KT;neu.txt;NA;Abhandlung;NA;NA;NEIN;ab;SG;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
1236;h GOTTES Bilde! *(Psalm.  XVII, 15.)* Amen.   <h1>;Abhandlung;.</h1>  ES sind wohl eh auch Heilige und Geliebte ;OMD-1710-KT-137.txt;OMD;1710;KT;137.txt;NA;Abhandlung;NA;NA;NEIN;ab;SG;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
2339; werden/ vnd also auff vnnd ab/ nach mehrung vnnd ;abkuertzung; der Sum_/ biss auff funfftzehen Guelden/ aber ein j;WMD-1590-ST-070.txt;WMD;1590;ST;070.txt;NA;Abkuerzung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;nach;NA
1767;t den mehristen TheilMenschen  geseeligt/ vnd die ;Abkuertzung; der zeitlichen Taeg mit dem ewigen Leben  ersetzt/;OOBD-1680-KT-110.txt;OOBD;1680;KT;110.txt;NA;Abkuerzung;NA;NA;NEIN;ab;SG;NEIN;DET_NOM_GEN;NEIN;NA;NA;postnom;b;NA;NA
1869;rs  abgetheilet worden. Hat sich nun bey solcher  ;Abledigung;/ soviel die Spanische Niederlande betrifft/ kein ;OOBD-1710-ST-130.txt;OOBD;1710;ST;130.txt;NA;Abledigung;NA;NA;NEIN;ab;SG;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;s;bei;NA
5000;vnd ich jtzt den Anfang gemacht von diesen so ich zu Regenspurg auff dem Reichstag[lang-s!] gethan/ dorinnen denn die furnemesten Heuptartickel vnser Christlichen Religion/ mit;ablenung;der gegenlehr/ einfeltig vnd deutlich erkleret werden/ als hab E. F. G. als ein sonderliche Patronin der Christenheit ich die selben hiemit vnterthenigst dediciren vnd;OMD-1590-KT-066.txt;OMD;1590;KT;066.txt;NA;Ablehnung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;mit;NA
246;n fuergehaltenen Artickern greiffen/ ein kurtze ;ab laynung; thun/ damit die oren vn_ hertzen etlicher etliche;NOBD-1530-KT-027.txt;NOBD;1530;KT;027.txt;NA;Ableinung;NA;NA;NEIN;ab;SG;NEIN;DET_ADJ_NOM__V;NEIN;NA;kurz;NA;u;NA;NA
2953;fordert worden/ vnd scharff gefraget/ warumb  bey ;abmahlung; dess Juengsten Gerichts er  vns so vielerley gestal;WOBD-1650-KT-097.txt;WOBD;1650;KT;097.txt;NA;Abmalung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;bei;NA
2935;rer bissweilen langen wehrungt  vnd gleichfoermiger ;abnemung; am schein vnd an der groesse: weren sie nur n[???];WOBD-1620-ST-078.txt;WOBD;1620;ST;078.txt;NA;Abnehmung;NA;NA;NEIN;ab;SG;NEIN;ADJ_NOM;NEIN;NA;gleichfoermig;NA;KEIN;NA;NA
1625; Maria auss prophetischen Geist/ oder vorgehender ;Abredung; mit jhrem Sohn/ deme der zukuenfftige Weinmangel b;OOBD-1650-KT-neu.txt;OOBD;1650;KT;neu.txt;NA;Abredung;NA;NA;NEIN;ab;SG;NEIN;ADJ_NOM;NEIN;NA;vorgehend;NA;KEIN;NA;NA
778;es Heil. Abendmahls unter beyderley Gestalt/  von ;Abschaffung; der Bilder und anderer Paebstlichen *Ceremonien &c;NOBD-1710-ST-135.txt;NOBD;1710;ST;135.txt;NA;Abschaffung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;von;NA
800;il beyde auf eine sichere Religions=Freyheit  und ;Abschaffung; der *spe-cifici*rten  Beschwehrnuessen bestanden. ;NOBD-1710-ST-135.txt;NOBD;1710;ST;135.txt;NA;Abschaffung;NA;NA;NEIN;ab;SG;NEIN;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
3350;enen/  als braechten sie solche sachen fuer/ die zu ;abschaffung;der missbraeuche/ eingefuehrter gottloser |sitten und gewohnheiten/  auch annemmung reiner Lehre/ nicht uebel dieneten/  noch ungeschickt waeren;WOBD-1710-KT-neu.txt;WOBD;1710;KT;neu.txt;NA;Abschaffung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN_V;NEIN;NA;NA;postnom;KEIN;zu;NA
3463;e Liechter auffgeschwungen hat/ so muss es doch in ;Abschneidung;  seiner Federn/ biss zu der aller=niedrigsten sche;WOBD-1710-ST-133.txt;WOBD;1710;ST;133.txt;NA;Abschneidung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;in;NA
3362;n  *rup*tur gekommen/ haben sie durch rechtmaessige ;absonderung; von diesem *Separati*stischen gesinde recht gezei;WOBD-1710-KT-neu.txt;WOBD;1710;KT;neu.txt;NA;Absonderung;NA;NA;NEIN;ab;SG;NEIN;PREP_ADJ_NOM;JA;NA;rechtmaessig;postnom;KEIN;durch;NA
1478;nder den Haenedn zu wachsen/ dass es nit  allein zu ;Abspeisung; so viel tausent Personen genug sey/ Sondern auch ;OOBD-1590-KT-056.txt;OOBD;1590;KT;056.txt;NA;Abspeisung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;zu;NA
1479;rsonen genug sey/ Sondern auch endlichen nach der ;Abspeisung; mehr vberbleiben muss/ dann anfangs  ist vorhanden;OOBD-1590-KT-056.txt;OOBD;1590;KT;056.txt;NA;Abspeisung;NA;NA;NEIN;ab;SG;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;b;nach;NA
2620;anische Monarchie voellig/  und ohne die geringste ;Abtheilung;/ den zween juengeren Printzen des Dauphins von Fra;WMD-1710-ST-142.txt;WMD;1710;ST;142.txt;NA;Abteilung;NA;NA;NEIN;ab;SG;NEIN;PREP_DET_ADJ_NOM;NEIN;JA;gering;NA;b;ohne;NA
1792;rden muss wie dises *Caesius* im I.  Theil und I. ;Abtheilung; seines Helicons wol gelehret/ nicht weniger auch ;OOBD-1680-ST-111.txt;OOBD;1680;ST;111.txt;NA;Abteilung;NA;NA;NEIN;ab;SG;NEIN;PREP_DET_NOM_GEN;NEIN;NA;NA;postnom;b;in;NA
2388;g/ doch mit Mass/ vnnd Jnnhalt dess Vertrags/ sampt ;Abtrettung; der Statt Odenburg/ kommen lassen.   13. Diesen V;WMD-1620-ST-088.txt;WMD;1620;ST;088.txt;NA;Abtretung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;samt;NA
1780;h in Jtalianischen Gesaengen etwas von dergleichen ;Abwechselung; gesehen.  Die Maennlichen Verse sind an sich selbs;OOBD-1680-ST-111.txt;OOBD;1680;ST;111.txt;NA;Abwechslung;NA;NA;NEIN;ab;SG;NEIN;PREP_ADJ_NOM;NEIN;NA;dergleichen;NA;KEIN;von;NA
1790;es *metri* wird dadurch beflecket. Die gewuenschte ;Abwechselung;  der kurzt= und langen Sylben wird verhindert/ un;OOBD-1680-ST-111.txt;OOBD;1680;ST;111.txt;NA;Abwechslung;NA;NA;NEIN;ab;SG;NEIN;DET_ADJ_NOM;NEIN;NA;gewuenscht;NA;b;NA;NA
1779; den Preis/ wegen des Unterschieds und lieblicher ;Abwechselung; der Maenn= und Weiblichen Verse/ so bey den Jtalia;OOBD-1680-ST-111.txt;OOBD;1680;ST;111.txt;NA;Abwechslung;NA;NA;NEIN;ab;SG;NEIN;ADJ_NOM_GEN;NEIN;NA;lieblich;postnom;KEIN;NA;NA
1721; auff der eussersten  Graenitz Post/ jedesmals ein ;abwechslung; beschehen/ dass Fehleyss wol gerauchet/  vnd nachma;OOBD-1650-ST-094.txt;OOBD;1650;ST;094.txt;NA;Abwechslung;NA;NA;NEIN;ab;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;u;NA;NA
1782;d ohne gewissen Klang beschihet wodurch zwar die ;Abwechselung; des Thons erhalten/  aber von gebundener ziemlich;OOBD-1680-ST-111.txt;OOBD;1680;ST;111.txt;NA;Abwechslung;NA;NA;NEIN;ab;SG;NEIN;DET_NOM_GEN;NEIN;NA;NA;postnom;b;NA;NA
101;lischen Religion in Schlesien/  deren *Fatis* und ;Abwechslungen;.</h1>    §. 1.   SObald *D. Martini Lutheri,* Pro;NOBD-1710-ST-135.txt;NOBD;1710;ST;135.txt;NA;Abwechslung;NA;NA;NEIN;ab;PL;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
152;ften/ so unser Leben vergnueget/  weilen allerhand ;Abwechselungen; auf das SchauTheatrum  darinnen gestellet werden/;OMD-1680-ST-121.txt;OMD;1680;ST;121.txt;NA;Abwechslung;NA;NA;NEIN;ab;PL;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;s;weilen;NA
1715;bey dem GOttsdienst ein absonderliches Gebett fuer ;abwendung; der Pest/ dem Volck offentlich vnnd laut vorbette;OOBD-1650-ST-094.txt;OOBD;1650;ST;094.txt;NA;Abwendung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;fuer;NA
2992;sambt noch gute anzeigung vnd Hoffnung machen/ zu ;Abwendung; der Truebsal vnd grossen Vnheils/ vielleicht durch;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Abwendung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;zu;NA
3051;lgen/ vnd entweder zu Versterckung/  oder aber zu ;Abwendung; der Bedeutung dienen koennen. Der *Effe-ctus*  ver;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Abwendung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;NEIN;NA;NA;postnom;KEIN;zu;NA
2986; darbey thun/ vnd Gott den Herrn vmb Vaetterliche  ;abwendung; aller angetraewten Straffen ernstlich bitten / vnd;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Abwendung;NA;NA;NEIN;ab;SG;NEIN;PREP_ADJ_NOM_GEN_V;NEIN;NA;vaeterlich;postnom;KEIN;um;NA
2587;/ krafftloss/ und dannenhero koenne der Mann/ durch ;Abwerffung; solch unertraeglichen  Jochs/ sich Ruhe schaffen/ ;WMD-1680-ST-neu.txt;WMD;1680;ST;neu.txt;NA;Abwerfung;NA;NA;NEIN;ab;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;durch;NA
327;verstendig gebrauch/ des gemelten Remleins[?] der ;abzeichnung; kein geringe huelff/  sonder ein trefflich gewiss m;NOBD-1560-ST-045.txt;NOBD;1560;ST;045.txt;NA;Abzeichnung;NA;NA;NEIN;ab;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;b;NA;NA
1752;ndere/  dass sie nit anderwerts aussgelauffen/ gute ;achtung; geben. Da nun hierwider ein:  oder anderer betret;OOBD-1650-ST-094.txt;OOBD;1650;ST;094.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;ADJ_NOM_V;NEIN;NA;gut;NA;KEIN;NA;NA
2985; muessen wir auff nachfolgende zehen Vmbstaend gute ;Achtung; geben.  1 Auff den Herrn vnd Regen der Finsternus;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;ADJ_NOM_V;NEIN;NA;gut;NA;KEIN;NA;NA
3001;en muessen.  6. Jst auff das Hauss dess Himmels gute ;achtung; zugeben/ in welchem  das Mittel der Finsternuss/ o;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;ADJ_NOM_V;NEIN;NA;gut;NA;KEIN;NA;NA
3004;et:  vnd dann auf die Stuud[sic!] jhr waerung gute ;achtung; geben. Die groesse der Finsternuss steigt bey vns/ ;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;ADJ_NOM_V;NEIN;NA;gut;NA;KEIN;NA;NA
480;ung jhrer Personen vnd guetter verordnet/ vleissig ;achtung; geben/ vnd vorschung haben/ ob sie zu solcher vor;NOBD-1620-ST-082.txt;NOBD;1620;ST;082.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
531;auff solche Landtgerichts buecher  guten vleiss vnd ;achtung; geben/ dass sie von seinen schreibern/ oder anderm;NOBD-1620-ST-082.txt;NOBD;1620;ST;082.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
536;nser Landtschreiber/ ein vleissiges vffsehen vnnd ;achtung; geben/ ob die Brieff die er verlieset/ an jhren S;NOBD-1620-ST-082.txt;NOBD;1620;ST;082.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
1145;ss er auf seinen *U*hrsprung/  welcher ist Schule/ ;achtung;  gében: weil nun dieses mit einem  (u) geschriebe;OMD-1650-ST-101.txt;OMD;1650;ST;101.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
1443;ches fu[o]rlaufft/ darauff  mit sonderlichem lust ;achtung; zugeben were/  So wollen wir doch das fu[o]rnemes;OOBD-1590-KT-056.txt;OOBD;1590;KT;056.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
1844;h will staetts auff mich wachen/ weil du auff mich ;achtung;  gibst/ ich will in mir nichts leyden/  das die R;OOBD-1710-KT-neu.txt;OOBD;1710;KT;neu.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
3027;uss eigener Erfahrung  befunden habe.  8. Soll man ;achtung; geben/ auff die Farb dess verfinsterten/ oder vom ;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
2960;lhie heissen/ <l>*Cavete vobis solares,*</l> gebt ;Achtung; auff euch jhr grosse Herrn/ der *Saturnus* lauret;WOBD-1650-ST-095.txt;WOBD;1650;ST;095.txt;NA;Achtung;geben;NA;NEIN;NA;SG;JA;V_NOM;NEIN;NA;NA;NA;KEIN;NA;NA
117;chst die vnnsern in solichen fellen auch fleissig ;achtung; haben/ damit sie nymannt on redlich vorgeende anc;NOBD-1500-ST-008.txt;NOBD;1500;ST;008.txt;NA;Achtung;haben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
204;vrsachen der entschuldigu_g ein merer ansehen vnd ;achtung; habn_ dann etliche geringe argkwenigkeit so erfun;NOBD-1500-ST-008.txt;NOBD;1500;ST;008.txt;NA;Achtung;haben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
1416;ir in seinem/ des Herrn Christi leiden sehen vnnd ;achtung;  haben muessen/ so wir den nutz seines leidens rec;OOBD-1560-KT-040.txt;OOBD;1560;KT;040.txt;NA;Achtung;haben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
2757;in_ vnd mainung/ vnnd nicht auff  die blosse wort ;achtung; haben solle/  naemlich/ wie neben Brot vnnd  Wein ;WOBD-1560-KT-043.txt;WOBD;1560;KT;043.txt;NA;Achtung;haben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
2909;nnen[sic!]/ Farben dess Gewuelcks/ ja auch darauff  ;achtung; zu haben ausstruecklich befilcht/ da er spricht: Wa;WOBD-1620-ST-078.txt;WOBD;1620;ST;078.txt;NA;Achtung;haben;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
918; materien entspringt/ welchs ein ytzlicher wol in ;achtung;  sol haben.  Jst der wehtage von heisser materien;OMD-1530-ST-neu.txt;OMD;1530;ST;neu.txt;NA;Achtung;haben;NA;NEIN;NA;SG;JA;PREP_NOM_V;NEIN;NA;NA;NA;KEIN;in;NA
130;en ist/ So sol der ancleger mit seinem leib/ nach ;achtung; vnd verdechtlichkeit der person verwart werden/ b;NOBD-1500-ST-008.txt;NOBD;1500;ST;008.txt;NA;Achtung;NA;NA;NEIN;NA;SG;JA;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;nach;NA
146;h laut diser vnser  ordnung nachzukomen/ auch die ;aczung; vnd gerichtsscostu_g nach laut derselben ausszurich;NOBD-1500-ST-008.txt;NOBD;1500;ST;008.txt;NA;Achtung;NA;NA;NEIN;NA;SG;JA;DET_NOM;NEIN;NA;NA;NA;KEIN;NA;NA
782;---------------------  *Ceremonien* bey;Administrirung; beter  *Sacramente,* Begraebnissen und andern Kirc;NOBD-1710-ST-135.txt;NOBD;1710;ST;135.txt;NA;Administrierung;NA;NA;JA;NA;SG;NA;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;bei;NA
2707;eych als ein fleisch gantz gsotten/ bedeuetet  ein ;anbegynnung; der dawung des magens noch nit volbracht. ¶Der ha;WOBD-1530-ST-023.txt;WOBD;1530;ST;023.txt;NA;Anbeginnung;NA;NA;NEIN;an;SG;NEIN;DET_NOM_GEN;NEIN;NA;NA;postnom;u;NA;NA
3073;s Opffers: Dass GOtt dasOpffer unsersDienstes/ der ;Anbetung;/  so der Messpriester verrichtet/ und alle anwesen;WOBD-1680-KT-113.txt;WOBD;1680;KT;113.txt;NA;Anbetung;NA;NA;NEIN;an;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;b;NA;NA
1830;5.</h1>  DJe Ubung der Gegenwart Gottes/  ist ein ;Anbettung;/ dardurch  der Geist innerlich GOtt den  Allmaecht;OOBD-1710-KT-neu.txt;OOBD;1710;KT;neu.txt;NA;Anbetung;NA;NA;NEIN;an;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;u;NA;NA
1832;be ich dich/  preise dich/  bette dich an mit der ;Anbettung;/  Lobgesaeng/ und Ehrbeweisungen aller  Himmlische;OOBD-1710-KT-neu.txt;OOBD;1710;KT;neu.txt;NA;Anbetung;NA;NA;NEIN;an;SG;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;b;mit;NA
3083;eel herrlich im Himmel/ dahin er auffgefahren. Zu ;Andenckung;  dieses opffern sieGOtt desVaters/  dem allein Op;WOBD-1680-KT-113.txt;WOBD;1680;KT;113.txt;NA;Andenkung;NA;NA;NEIN;an;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;zu;NA
1045;Religionshandel:%-------[007]  Wann jhr dar innen ;Enderung; gedencket fuerzunehmen/  da stehet jhr auff dem re;OMD-1620-KT-085.txt;OMD;1620;KT;085.txt;NA;aenderung;vornehmen;NA;NEIN;NA;SG;JA;NOM_V;NEIN;NA;NA;NA;KEIN;NA;NA
1617;ten Worten. Jch begehre nit/ dass die/  welche die ;aenderung; gemacht/ jhren Lohn mit mir theylen. *Mart.* Sehe;OOBD-1650-KT-neu.txt;OOBD;1650;KT;neu.txt;NA;aenderung;NA;NA;NEIN;NA;SG;JA;DET_NOM;NEIN;NA;NA;NA;b;NA;NA
70; Mensch an seinem Leibe  und seinem Gemuete vielen ;Aenderungen; unterworffen/  und mit zuwachsenden Jahren/ oder ;NOBD-1650-ST-099.txt;NOBD;1650;ST;099.txt;NA;aenderung;NA;NA;NEIN;NA;PL;JA;DET_NOM;NEIN;NA;NA;NA;s;NA;NA
1421; vnd mit dem B. beschriben wirdet/ hab ich khain  ;aenderung; in demselben Namen machen woellen.   C. so ainem H;OOBD-1560-ST-039.txt;OOBD;1560;ST;039.txt;NA;aenderung;NA;NA;NEIN;NA;SG;JA;DET_NOM;NEIN;NA;NA;NA;s;NA;NA
290;n.   Nun woel wir an die dicke vnnd breytten/ Dise ;enderung; geschicht auff allen zwerch linien vnnd auch darz;NOBD-1530-ST-026.txt;NOBD;1530;ST;026.txt;NA;aenderung;NA;NA;NEIN;NA;SG;JA;DET_NOM;NEIN;NA;NA;NA;DEM;NA;NA
1753;rancke Person mit Hitz oder Kaelte ein sonderbare  ;aenderung; oder ein starckes Kopffwehe empindet/ oder sich a;OOBD-1650-ST-094.txt;OOBD;1650;ST;094.txt;NA;aenderung;NA;NA;NEIN;NA;SG;JA;DET_ADJ_NOM;NEIN;NA;sonderbar;NA;u;NA;NA
1559;n Ave Maria gebetet/ vnd als er einsmal in grosse ;anfechtung; gerathen/ vnd die Teuffel ein grosses Suenden regi;OOBD-1620-KT-075.txt;OOBD;1620;KT;075.txt;NA;Anfechtung;geraten;FVG;NEIN;an;SG;NEIN;PREP_ADJ_NOM_V;NEIN;NA;gross;NA;KEIN;in;NA
1046;men/ ob au[ch][??] dardurch koenne das Gewissen in ;Anfechtung; befriediget/ [vn]d[??] fuer GOttes Gericht entschue;OMD-1620-KT-085.txt;OMD;1620;KT;085.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;PREP_NOM;JA;NA;NA;NA;KEIN;in;NA
1391;hunger/ durdt/ trawrigkeit vnnd ander dergleichen ;anfechtung; vn_ widerwertigkeit/ die er nit allein am leib/ s;OOBD-1560-KT-040.txt;OOBD;1560;KT;040.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;DET_ADJ_NOM;NEIN;NA;dergleichen;NA;s;NA;NA
307;                        ?<h1>Wie einer jeglichen  ;Anfechtung; jhr gewisse  Ertzney soll gegeben werden/ Vnterri;NOBD-1560-KT-046.txt;NOBD;1560;KT;046.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;DET_ADJ_NOM;NEIN;NA;jeglich;NA;u;NA;NA
310;/ Lehr vnnd vnterricht zugeben/ wie eine yegliche ;Anfechtung; jhr gewisse Artzney haben moecht/ Bin ich allein  ;NOBD-1560-KT-046.txt;NOBD;1560;KT;046.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;DET_ADJ_NOM;NEIN;NA;jeglich;NA;u;NA;NA
195; derselben/ in allen deinen geist= vnd leiblichen ;Anfechtungen; vnd widerwertigkeiten.  Kombt du in Creutz/ Noth ;OOBD-1620-KT-075.txt;OOBD;1620;KT;075.txt;NA;Anfechtung;NA;NA;NEIN;an;PL;NEIN;PREP_DET_ADJ_NOM;NEIN;NA;leiblich;NA;s;in;NA
408;eschichten  wolte bey bringen/ was fuer merckliche ;aenderungen;/ schwere Krieg/ grosse Sterben/ jaemmerliche Hunge;WOBD-1620-ST-078.txt;WOBD;1620;ST;078.txt;NA;Anfechtung;NA;NA;NEIN;an;PL;NEIN;ADJ_NOM;NEIN;NA;merklich;NA;KEIN;NA;NA
1991; kecklich an jn/ Lasse dir disen edeln trost kein ;anfechtu_g; oder verzweifflung  auss deinem hertzen reissen. R;WMD-1530-KT-neu.txt;WMD;1530;KT;neu.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;s;NA;NA
323;en/  so vermessen vnd alzu  kuen sein.</h1>   DJse ;Anfechtung; ist der vorigen  stracks entgegen/ welche  wir au;NOBD-1560-KT-046.txt;NOBD;1560;KT;046.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;DEM;NA;NA
313;ngegriffen vnnd gestuertzet worden.    Es ist kein ;anfechtung; so geschwindt   vnnd gefehrlich/ denn%-----------;NOBD-1560-KT-046.txt;NOBD;1560;KT;046.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;s;NA;NA
314; ich doch daran nit zweyffeln.    Weyl aber diese ;anfechtung; etwas hoehers ist/ denn sie von albern  vnnd einfe;NOBD-1560-KT-046.txt;NOBD;1560;KT;046.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;DEM;NA;NA
268;demuethig/ gedultig/  liebreich/ widerstehet allen ;Anfechtungen; und Anreitzungen der Suend/ wachet staetts auff die;OOBD-1710-KT-neu.txt;OOBD;1710;KT;neu.txt;NA;Anfechtung;NA;NA;NEIN;an;PL;NEIN;DET_NOM;NEIN;NA;NA;NA;s;NA;NA
308;ensch sein selbst Gott sein wil.</h1>  WJewol die ;Anfechtunge;  mancherley sindt/  das man sie inn sonderheyt  n;NOBD-1560-KT-046.txt;NOBD;1560;KT;046.txt;NA;Anfechtung;NA;NA;NEIN;an;PL;NEIN;DET_NOM_;NEIN;NA;NA;NA;b;NA;NA
1580;fer ruth/ j[e?] [gr?]oesser heyliger/  je schwerer ;anfechtung;. Muss nicht der ewige SohnGottes  selbsten zweymal;OOBD-1620-KT-075.txt;OOBD;1620;KT;075.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
1042;r hat keine_[_?]Grund seiner Religion Darumb wann ;Anfechtung; vnnd Verfolgung darueber entstehen solte/ was wuerd;OMD-1620-KT-085.txt;OMD;1620;KT;085.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
2550;llet einer</z> (in Kranckheit/ oder Schwachheit/  ;Anfechtung;/ oder Betruebniss/ oder auch sonsten)  <z>so hilfft;WMD-1680-ST-neu.txt;WMD;1680;ST;neu.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
1321;er standen/ daru_b vn_ solliche_ schwaern vaell vnd ;anfechtu_g; d[er] cristenheit vnd des reichs tapfferlich zuob;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
1820;und fuer nothwendig gehalten[?]/  sonderbar in der ;Anfechtung; und Gelegenheit  zu suendigen: Es dienen dise Schu;OOBD-1710-KT-neu.txt;OOBD;1710;KT;neu.txt;NA;Anfechtung;NA;NA;NEIN;an;SG;NEIN;PREP_DET_NOM;NEIN;NA;NA;NA;b;in;NA
