Nr;Text_vorher;UNG;Text_danach;Textstelle;Sprachraum;Jahr;Textsorte;Textstelle5;Erstglied;Lemma;NOM_V;FVG;Fremdwortbasis;Praefix;Numerus;Simplexbasis;Konstruktion;als_praep_Kompl;Prep_Det_Nom;Adj;Genitiv;Det;Prep;Anmerkungen
2441;lche zu verdemuetigung der Seel im Gebett vnnd zur ;Kasteyung;  dess Leibs angenommen wird nit aber zur anzeigun;WMD-1650-KT-106.txt;WMD;1650;KT;106.txt;NA;Kasteiung;NA;NA;NEIN;NA;SG;JA;PREP_DET_NOM_GEN;NEIN;NA;NA;postnom;b;zu;NA
3287; welcher ein Speiss gierig zu sich nim_t/ vnd ohne ;kaewung; einschlinget/  darzu auff einmal also viel einnim;WOBD-1680-ST-116.txt;WOBD;1680;ST;116.txt;NA;Kauung;NA;NA;NEIN;NA;SG;JA;PREP_NOM;JA;NA;NA;NA;KEIN;ohne;NA
946;cken vnd reinigen/ als vormenicklichen[sic!]  ist ;kewung; des mastix/ vnd so man yn mit rosen vnd granaten ;OMD-1530-ST-neu.txt;OMD;1530;ST;neu.txt;NA;Kauung;NA;NA;NEIN;NA;SG;JA;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
5082;koenne nemlich nichts geistliches noch nuetzliches und zur Erbauung dienendes and und bey unsern Kyrchen-#*Music*en finden noch merken: Es stecke nichts anders/ als eine fleischliche;Kuetzelung;der Ohren dahinter und diene mehr zur Wollust des Hertzens/ als zur geistlichen Andacht/ u. s. w. Nun muss ich freylich bekennen/ dass es bey;NOBD-1710-KT-neu.txt;NOBD;1710;KT;neu.txt;NA;Kitzelung;NA;NA;NEIN;NA;SG;JA;DET_ADJ_NOM_GEN;NEIN;NA;fleischlich;postnom;u;NA;NA
842;he_ sein/ ader ine gleich geacht werden/ sich mit ;cleydu_g; vn_ anderm yne gleichmessig tzuhalden/ vorbunden ;OMD-1500-ST-neu.txt;OMD;1500;ST;neu.txt;NA;Kleidung;NA;NA;NEIN;NA;SG;JA;PREP_NOM;JA;NA;NA;NA;KEIN;mit;NA
832;ein eyn tzyfordern vnd tzunemen.   <h1>Gesetz uo_ ;Cleydung; und ernstlich der in Rethen vnd ander redlicher b;OMD-1500-ST-neu.txt;OMD;1500;ST;neu.txt;NA;Kleidung;NA;NA;NEIN;NA;SG;JA;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;von;NA
837; golt ader siber[sic!] gebraucht werdt.   <h1>Uon ;Cleydung; gemeiner Burger Hantwerger Hantwergs gesellen/ vn;OMD-1500-ST-neu.txt;OMD;1500;ST;neu.txt;NA;Kleidung;NA;NA;NEIN;NA;SG;JA;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;von;NA
839;schryben Statuten nicht begriffen sein.   <h1>Uon ;Cleydung; der yn rethen vnd anderer Redlichen burger vnd he;OMD-1500-ST-neu.txt;OMD;1500;ST;neu.txt;NA;Kleidung;NA;NA;NEIN;NA;SG;JA;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;von;NA
1205;dazumahl alsbald  an dem aeuserlichen *Habit* oder ;Kleidung; haben erkennet werden moegen/ also/  dass hohe *Min;OMD-1710-KT-137.txt;OMD;1710;KT;137.txt;NA;Kleidung;NA;NA;NEIN;NA;SG;JA;PREP_DET_ADJ_NOM;NEIN;NA;aeusserlich;NA;s;an;NA
1954;e. so merckte_ Sy etzliche dae. mit eynre vremder ;cleydu_g; in den stoellen der Senaten. ind vraegede_ wer di;WMD-1500-ST-013.txt;WMD;1500;ST;013.txt;NA;Kleidung;NA;NA;NEIN;NA;SG;JA;PREP_DET_ADJ_NOM;NEIN;NA;fremd;NA;u;mit;NA
964;gern.  So ist im besten bedacht solche gewoenliche ;Kleidung;  vnuerbindlich zu behalten/ vnd wolten die Fuerste;OMD-1560-KT-048.txt;OMD;1560;KT;048.txt;NA;Kleidung;NA;NA;NEIN;NA;SG;JA;DET_ADJ_NOM;NEIN;NA;gewoehnlich;NA;s;NA;NA
3471; oft gibt solches  eine neue form und gestalt der ;kleidung; zurAusbeut/  biss der Arme selbst Reichthumb erlan;WOBD-1710-ST-133.txt;WOBD;1710;ST;133.txt;NA;Kleidung;NA;NA;NEIN;NA;SG;JA;DET_NOM;NEIN;NA;NA;NA;b;NA;NA
