File	Title	Author	Texttype	Year
olearius_reise_1647_minimal	Offt begehrte Beschreibung Der Newen Orientalischen Rejse/ So durch Gelegenheit einer Holsteinischen Legation an den König in Persien geschehen	Adam Olearius	Belletristik	1647
opitz_poemata_1624_minimal	Teutsche Pöemata und: Aristarchvs Wieder die verachtung Teutscher Sprach	Martin Opitz	Belletristik	1624
opitz_schaefferey_1630_minimal	Schäfferey Von der Nimfen Hercinie	Martin Opitz	Belletristik	1630
pahl_geheimnisse_1797_minimal	Geheimnisse eines mehr als fünfzigjährigen wirtembergischen Staatsmannes	Johann Gottfried Pahl	Gebrauchsliteratur	1799
pahl_gutachten_1797_minimal	Wohlgemeyntes, in Vernunft und Schrift bestgegründetes, jedoch unmaaßgebliches Gutachten, über die Wahlfähigkeit eines Landtagsdeputirten in Wirtemberg	Johann Gottfried Pahl	Gebrauchsliteratur	1797
pahl_libell_1797_minimal	Vernunft- und schriftmäßiges Schutz- Trutz- und Vertheidigungs-Libell für den Wirtembergischen Adel, gegen die demokratischen und jakobinischen Belialssöhne unserer Zeit	Sebastian Käsbohrer	Gebrauchsliteratur	1797
pasch_voltesiren_1660_minimal	Kurtze iedoch gründliche Beschreibung Des Voltesirens/ So wohl auf dem Pferde als über den Tisch	Johann Georg Pascha	Gebrauchsliteratur	1660
paul_hesperus01_1795_minimal	Hesperus, oder 45 Hundsposttage	Jean Paul	Belletristik	1795
paul_titan03_1802_minimal	Titan	Jean Paul	Belletristik	1802
pestalozzi_lienhard01_1781_minimal	Lienhard und Gertrud	Johann Heinrich Pestalozzi	Belletristik	1781
pfizer_einheit_1849_minimal	Die deutsche Einheit und der Preußenhaß	Gustav Pfizer	Gebrauchsliteratur	1849
philippi_reimschmiedekunst_1743_minimal	Regeln und Maximen der edlen Reimschmiede-Kunst, auch kriechender Poesie	Johann Ernst Philippi	Gebrauchsliteratur	1743
praetorius_verrichtung_1668_minimal	Blockes-Berges Verrichtung	Johannes Praetorius	Belletristik	1668
puetter_staatsverfassung03_1787_minimal	Historische Entwickelung der heutigen Staatsverfassung des Teutschen Reichs	Johann Stephan Pütter	Wissenschaft	1787
pufendorf_einleitung_1682_minimal	Einleitung zu der Historie der Vornehmsten Reiche und Staaten/ so itziger Zeit in Europa sich befinden	Samuel von Pufendorf	Gebrauchsliteratur	1682
pufendorf_einleitung_1691_minimal	Einleitung zur Sitten- und Stats-Lehre	Samuel von Pufendorf	Wissenschaft	1691
purmann_feldscher_1680_minimal	Der rechte und wahrhafftige Feldscher	Matthäus Gottfried Purmann	Wissenschaft	1680
purtscheller_alpinismus_1894_minimal	Zur Entwicklungsgeschichte des Alpinismus und der alpinen Technik in den Deutschen und Oesterreichischen Alpen	Ludwig Purtscheller	Wissenschaft	1894
quenstedt_mineralogie_1854_minimal	Handbuch der Mineralogie	Friedrich August Quenstedt	Wissenschaft	1855
ramdohr_venus0301_1798_minimal	Venus Urania	Basilius von Ramdohr	Gebrauchsliteratur	1798
raschdorff_hochbau_1880_minimal	Die Hochbau-Ausführungen des Preußischen Staates. Denkschrift der Vereinigung zur Vertretung baukünstlerischer Interessen in Berlin	Julius Raschdorff	Gebrauchsliteratur	1880
reinkingk_policey_1653_minimal	Biblische Policey	Theodor von Reinkingk	Gebrauchsliteratur	1653
riemann_teichbau_1798_minimal	Praktische Anweisung zum Teichbau	Johann Friedrich Riemann	Gebrauchsliteratur	1798
rochow_versuch_1772_minimal	Versuch eines Schulbuches für Kinder der Landleute, oder zum Gebrauch in Dorffschulen	Friedrich Eberhard von Rochow	Wissenschaft	1772
rollenhagen_reysen_1603_minimal	Vier Bücher Wunderbarlicher biß daher vnerhörter/ vnd vngleublicher Jndianischer reysen/ durch die Lufft/ Wasser/ Land/ Helle/ Paradiß/ vnd den Himmel	Gabriel Rollenhagen	Belletristik	1603
rosegger_waldschulmeister_1875_minimal	Die Schriften des Waldschulmeisters	Peter Rosegger	Belletristik	1875
rossmaessler_wald_1863_minimal	Der Wald	Emil Adolf Roßmäßler	Gebrauchsliteratur	1863
rotth_bedencken_1692_minimal	Eylfertiges Bedencken über M. August Hermann Franckens/ Pastoris zu Glauche vor Halle/Seine Schutz-Predigt/ Ob Er Durch dieselbe seinen Zweck/ den er auf dem Titul gedachter Predigt/ berühret hat/ erlanget oder nicht?	Albrecht Christian Rotth	Gebrauchsliteratur	1692
rueckert_brahmane01_1836_minimal	Die Weisheit des Brahmanen	Friedrich Rückert	Belletristik	1836
rueckert_brahmane02_1837_minimal	Die Weisheit des Brahmanen	Friedrich Rückert	Belletristik	1837
sander_beschreibung01_1783_minimal	Heinrich Sanders Beschreibung seiner Reisen durch Frankreich, die Niederlande, Holland, Deutschland und Italien	Heinrich Sander	Gebrauchsliteratur	1783
sandrart_academie0101_1675_minimal	L’Academia Todesca. della Architectura, Scultura & Pittura: Oder Teutsche Academie der Edlen Bau- Bild- und Mahlerey-Künste	Joachim von Sandrart	Wissenschaft	1675
sandrart_academie0103_1675_minimal	L’Academia Todesca. della Architectura, Scultura & Pittura: Oder Teutsche Academie der Edlen Bau- Bild- und Mahlerey-Künste	Joachim von Sandrart	Wissenschaft	1675
sandrart_iconologia_1680_minimal	ICONOLOGIA DEORUM	Joachim von Sandrart	Wissenschaft	1680
santa_judas01_1686_minimal	Judas Der Ertz-Schelm/ Für ehrliche Leuth/ Oder: Eigentlicher Entwurff/ vnd Lebens-Beschreibung deß Iscariotischen Bößwicht	Abraham a Sancta Clara	Gebrauchsliteratur	1686
schauberg_freimaurerei02_1861_minimal	Vergleichendes Handbuch der Symbolik der Freimaurerei	Joseph Schauberg	Gebrauchsliteratur	1861
schauberg_freimaurerei03_1863_minimal	Vergleichendes Handbuch der Symbolik der Freimaurerei	Joseph Schauberg	Gebrauchsliteratur	1863
schmidt_rockenphilosophia01_1705_minimal	Die gestriegelte Rocken-Philosophia, Oder Auffrichtige Untersuchung derer Von vielen super-klugen Weibern hochgehaltenen Aberglauben	Johann Georg Schmidt	Gebrauchsliteratur	1705
schmolck_sabbath_1712_minimal	Der Lustige Sabbath/ Jn der Stille Zu Zion Mit Heiligen Liedern gefeyert	Benjamin Schmolck	Belletristik	1712
schurz_studentencongress_1848_minimal	Der Studentencongreß zu Eisenach am 25. September 1848	Karl Schurz	Gebrauchsliteratur	1848
semmelweis_kindbettfieber_1861_minimal	Die Aetiologie, der Begriff und die Prophylaxis des Kindbettfiebers	Ignaz Philipp Semmelweis	Wissenschaft	1861
silesius_schlussrime_1657_minimal	Geistreiche Sinn- vnd Schlussrime	Angelus Silesius	Belletristik	1657
silesius_wandersmann_1675_minimal 1	Cherubinischer Wandersmann oder Geist-Reiche Sinn- und Schluß-Reime zur Göttlichen beschauligkeit anleitende	Angelus Silesius	Belletristik	1675
spee_cautio_1647_minimal 1	Gewissens-Buch: Von Processen Gegen die Hexen	Friedrich von Spee	Wissenschaft	1647
spener_bedencken02_1701_minimal	Theologische Bedencken	Philipp Jakob Spener	Gebrauchsliteratur	1701
spener_bedencken04_1702_minimal	Theologische Bedencken	Philipp Jakob Spener	Gebrauchsliteratur	1715
sperander_negotiant_1706_minimal	Sorgfältiger Negotiant und Wechßler	Friedrich Gladov	Wissenschaft	1706
spielhagen_problematische04_1861_minimal	Problematische Naturen	Friedrich Spielhagen	Belletristik	1861
spindler_jugendfruechte_1745_minimal	Unschuldige Jugend-Früchte	Christian Gotthold Spindler	Belletristik	1745
stieber_magni_1716_minimal	Leben Des Hertzogs Magni zu Mecklenburg, Ersten Evangelischen Bischoffs zu Schwerin	Georg Friedrich Stieber	Belletristik	1716
stieler_venus_1660_minimal	Die Geharnschte Venus oder Liebes-Lieder im Kriege gedichtet mit neuen Gesang-Weisen zu singen und zu spielen gesezzet	Kaspar von Stieler	Belletristik	1660
stifter_nachsommer03_1857_minimal	Der Nachsommer	Adalbert Stifter	Belletristik	1857
stifter_steine01_1853_minimal	Bunte Steine	Adalbert Stifter	Belletristik	1853
storch_petersburg02_1794_minimal	Gemählde von St. Petersburg	Heinrich Friedrich von Storch	Gebrauchsliteratur	1794
storm_immensee_1852_minimal	Immensee	Theodor Storm	Belletristik	1852
strauss_jesus02_1836_minimal	Das Leben Jesu, kritisch bearbeitet	David Friedrich Strauß	Wissenschaft	1836
strouhal_tonerregung_1878_minimal	Ueber eine besondere Art der Tonerregung	Vincenz Strouhal	Wissenschaft	1878
suppius_oden_1749_minimal 1	Oden und Lieder	Christoph Eusebius Suppius	Belletristik	1749
swift_unterricht_1748_minimal	Des Herrn Dr. Jonathan Swifts wo nicht unverbesserlicher doch wohlgemeynter Unterricht für alle Arten unerfahrner Bedienten, aus vieljähriger sorgfältiger Aufmerksamkeit und Erfahrung zusammengetragen	Jonathan Swift	Gebrauchsliteratur	1748
thaer_landwirthschaft01_1809_minimal	Grundsätze der rationellen Landwirthschaft	Albrecht Daniel Thaer	Wissenschaft	1809
thomasius_ausuebungvernunfftlehre_1691_minimal	Außübung Der Vernunfft-Lehre	Christian Thomasius	Wissenschaft	1691
thomasius_discours_1690_minimal	Christian Thomas eröffnet Der Studirenden Jugend zu Leipzig in einem Discours Welcher Gestalt man denen Frantzosen im gemeinen Leben und Wandel nachahmen solle?	Christian Thomasius	Gebrauchsliteratur	1690
thomasius_einleitungvernufftlehre_1691_minimal	Einleitung zu der Vernunfft-Lehre	Christian Thomasius	Wissenschaft	1691
trichter_ritterexercitienlexikon_1742_minimal	Curiöses Reit- Jagd- Fecht- Tantz- oder Ritter-Exercitien-Lexicon	Valentin Trichter	Gebrauchsliteratur	1742
tulla_rhein_1822_minimal	Der Rhein von Basel bis Mannheim mit Begründung der Nothwendigkeit, diesen Strom zu regulieren	Johann Gottfried Tulla	Gebrauchsliteratur	1822
uhse_poet_1719_minimal	Wohl-informirter Poët	Erdmann Uhse	Gebrauchsliteratur	1719
unknown_civilprozessordnung_1877_minimal	Civilprozeßordnung	NA N. N.	Gebrauchsliteratur	1877
unzer_erstegruende_1771_minimal	Erste Gründe einer Physiologie der eigentlichen thierischen Natur thierischer Körper	Johann August Unzer	Wissenschaft	1771
vertrag_westfaelischer_1648_minimal	Friedens-Schluß / So von der Römischen Käyserlichen / Vnd  Aller-Christl. Königl. Mayst. Mayst. Als auch Deß Heyl. Römischen Reichs Extraordinari-Deputirten, vnd anderer Chur:Fürsten vnd Ständ Gevollmächtigten vnd Hochansehenlichen Herren Abgesandten zu Münster in Westphalen / am 24/14. Octobris Im Jahr 1648. in offentlicher Versamblung vnderschrieben vnd bekräfftiget / auch den 25/15. eiusdem solenniter publicirt worden / etc.	unknown	Gebrauchsliteratur	1649
virchow_cellularpathologie_1858_minimal	Die Cellularpathologie in ihrer Begründung auf physiologische und pathologische Gewebelehre	Rudolf Virchow	Wissenschaft	1858
vischer_aesthetik030204_1857_minimal	Ästhetik oder Wissenschaft des Schönen	Friedrich Theodor von Vischer	Wissenschaft	1857
voss_ini_1810_minimal	Ini	Julius von Voß	Belletristik	1810
wartmann_germania0203_1650_minimal	Germaniae Pertvrbatae et Restavratae sive Vnpartheyischer wolmeynender Theologo-Politicorum Discvrsvm Ander vnd dritter Theil	Sigismund Friedrich Wartmann	Wissenschaft	1650
wartmann_germania05_1653_minimal	De Statu Pertvrbato Franciae et Germaniae: Vnpartheyischer wolmeynender Discursuum Supplementum, oder Fünffter Theil	Sigismund Friedrich Wartmann	Wissenschaft	1653
weckherlin_gedichte_1641_minimal	Gaistliche und Weltliche Gedichte	Georg Rodolf Weckherlin	Belletristik	1641
weckherlin_oden01_1618_minimal	Oden vnd Gesäng	Georg Rodolf Weckherlin	Belletristik	1618
weckherlin_oden02_1619_minimal	Oden vnd Gesäng	Georg Rodolf Weckherlin	Belletristik	1619
weigel_gueldenergriff_1613_minimal	Der güldene Griff/ Alle Ding ohne Jrrthumb zuerkennen/ vielen Hochgelährten vnbekandt/ vnd doch allen Menschen nothwendig zu wissen	Valentin Weigel	Gebrauchsliteratur	1613
wienbarg_feldzuege_1834_minimal	Aesthetische Feldzüge	Ludolf Wienbarg	Wissenschaft	1834
winckelmann_kunstgeschichte01_1764_minimal	Geschichte der Kunst des Alterthums	Johann Joachim Winckelmann	Wissenschaft	1764
woyt_gazophylacium_1737_minimal	Gazophylacium Medico-Physicum, Oder Schatz-Kammer, Medicinisch- und Natürlicher Dinge	Johann Jacob Woyt	Wissenschaft	1737
wrangel_luxusfuhrwerk_1898_minimal	Das Luxus-Fuhrwerk	Carl Gustav Wrangel	Wissenschaft	1898
zachariae_schriften05_1764_minimal	Poetische Schriften	Justus Friedrich Wilhelm Zachariae	Belletristik	1764
zachariae_schriften06_1764_minimal	Poetische Schriften	Justus Friedrich Wilhelm Zachariae	Belletristik	1764
zeiller_centuria02_1659_minimal	Centuria II. Variarvm Quæstionum	Martin Zeiller	Wissenschaft	1659
zesen_helikon01_1640_minimal	Deütscher Helicon	Philipp von Zesen	Belletristik	1640
zesen_rosemund_1645_minimal	Adriatische Rosemund	Philipp von Zesen	Belletristik	1645
zwinger_theatrum_1690_minimal	Theatrvm Botanicvm, Das ist: Neu Vollkommenes Kräuter-Buch	Pietro Andrea Mattioli 	Gebrauchsliteratur	1690
