File	Title	Author	Texttype	Year
buechner_werke_1879_minimal	Sämmtliche Werke und handschriftlicher Nachlaß	Georg Büchner	Belletristik	1879
buerger_gedichte_1778_minimal	Gedichte	Gottfried August Bürger	Belletristik	1778
calvi_beutelschneider01_1627_minimal	Beutelschneider/ Oder Neue/ warhaffte/ vnd eigentliche Beschreibung Der Diebs Historien	François de Calvi	Belletristik	1627
calvi_beutelschneider02_1627_minimal	Beutelschneider/ Oder Neue/ warhaffte/ vnd eigentliche Beschreibung Der Diebs Historjen	François de Calvi	Belletristik	1627
campe_theophron01_1783_minimal	Theophron, oder der erfahrne Rathgeber für die unerfahrne Jugend	Joachim Heinrich Campe	Gebrauchsliteratur	1783
campe_theophron02_1783_minimal	Theophron, oder der erfahrne Rathgeber für die unerfahrne Jugend	Joachim Heinrich Campe	Gebrauchsliteratur	1783
cancrin_beschreibung_1767_minimal	Beschreibung der vorzüglichsten Bergwerke in Hessen, in dem Waldekkischen, an dem Haarz, in dem Mansfeldischen, in Chursachsen, und in dem Saalfeldischen	Franz Ludwig von Cancrin	Wissenschaft	1767
carus_gynaekologie01_1820_minimal	Lehrbuch der Gynäkologie	Carl Gustav Carus	Wissenschaft	1820
carus_zoologie_1872_minimal	Geschichte der Zoologie bis auf Joh. Müller und Charl. Darwin	Julius Victor Carus	Gebrauchsliteratur	1872
caselius_leichpredigt_1649_minimal	Christliche Leich-Predigt über die thewre werthe Wort S. Pauli/ die Er uns in seiner ersten Epistel an Timotheum Cap. 1/ 12. seqq. hinterlassen hat	Martin Caselius	Gebrauchsliteratur	1649
clausewitz_krieg03_1834_minimal	Vom Kriege	Carl von Clausewitz	Wissenschaft	1834
crueger_cupediae_1631_minimal	Cupediæ Astrosophicæ [...] Darinnen die allerkunstreichesten vnd tieffesten Geheimbnüsse/ der Astronomiæ, deß Calender-Schreibens/ der Astrologiæ, vnd der Geographiæ, [...] außgeführet sind	Peter Crüger	Wissenschaft	1631
curtius_sprachforschung_1885_minimal	Zur Kritik der neuesten Sprachforschung	Georg Curtius	Wissenschaft	1885
czepko_siebengestirne_1671_minimal	Sieben-Gestirne Königlicher Busse/ das ist/ Die Sieben Buß-Psalmen/ Des Königes und Propheten Davids	Daniel von Czepko	Wissenschaft	1671
czepko_triumphbogen_1641_minimal	Triumph Bogen	Daniel von Czepko	Belletristik	1641
d_untreue_1763_minimal	Die in der Liebe herumschweifende oder bestrafte Untreue	unknown	Belletristik	1763
daguerre_daguerrereotyp_1839_minimal	Das Daguerreotyp und das Diorama,	Louis Jacques Mandé Daguerre	Gebrauchsliteratur	1839
dannhauer_catechismus08_1666_minimal	Catechismvs-Milch/ Oder Der Erklärung deß Christlichen Catechismi/ Achter Theil	Johann Conrad Dannhauer	Gebrauchsliteratur	1666
dannhauer_catechismus11_1678_minimal	Index Catecheticus, Oder Vollständiges und Außführliches Register über das herrliche gantze Werck der Catechismus-Milch	Johann Conrad Dannhauer	Gebrauchsliteratur	1678
darwin_pflanzen_1876_minimal	Insectenfressende Pflanzen	Charles Darwin	Wissenschaft	1876
deckhardt_kochbuch_1611_minimal	New/ Kunstreich vnd Nützliches Kochbuch	Johann Deckhardt	Gebrauchsliteratur	1611
dilger_arndes_1620_minimal	Des Ehrwürdigen/ Achtbaren vnd Hochgelarten Herrn Johannis Arndes [...] Richtige/ vnd in Gottes Wort wolgegründete Lehre/ in den vier Büchern vom wahren Christenthumb	Daniel Dilger	Wissenschaft	1620
dubois_naturerkennen_1872_minimal	Über die Grenzen des Naturerkennens	Emil Heinrich Du Bois-Reymond	Wissenschaft	1872
eckarth_bertzdorff_1749_minimal	Chronica, oder: historische Beschreibung des Dorffes Bertzdorff, eine halbe Meile von Zittau in der Ober-Lausitz gelegen	Gotthülff Traugott Eckarth	Gebrauchsliteratur	1749
eckarth_chronica_1732_minimal	Chronica Oder Historische Beschreibung Derer Zwey nächst an Zittau anstossenden Dörffer Eckersberg Und Olbersdorff	Friedrich Eckarth	Gebrauchsliteratur	1732
eckarth_chronica_1737_minimal	Chronica Oder Historische Beschreibung Des Dorffes Herwigsdorff	Friedrich Eckarth	Gebrauchsliteratur	1737
erbkam_tagebuch02_1843_minimal	Tagebuch meiner egyptischen Reise	Georg Gustav Erbkam	Wissenschaft	1843
eschstruth_katz_1886_minimal	Katz' und Maus	Nataly von Eschstruth	Belletristik	1886
euler_algebra02_1770_minimal	Vollständige Anleitung zur Algebra	Leonhard Euler	Wissenschaft	1770
euler_rechenkunst01_1738_minimal	Einleitung zur Rechen-Kunst	Leonhard Euler	Wissenschaft	1738
falke_trachten01_1858_minimal	Die deutsche Trachten- und Modenwelt	Jakob von Falke	Gebrauchsliteratur	1858
faulhaber_instrument_1610_minimal	Newe Geometrische vnd Perspectiuische Inuentiones Etlicher sonderbahrer Instrument/ die zum Perspectiuischen Grundreissen der Pasteyen vnnd Vestungen/ wie auch zum Planimetrischen Grundlegen der Stätt/ Feldläger vnd Landtschafften/ deßgleichen zur Büchsenmeisterey sehr nützlich vnnd gebrauchsam seynd	Johannes Faulhaber	Wissenschaft	1610
ferdinand_copia_1621_minimal	Copia, Kayserl: Aachts Erklerung / wider Pfaltzgraff Friderich Churfürst	II. Ferdinand	Gebrauchsliteratur	1621
fleming_jaeger01_1719_minimal	Der vollkommene teutsche Jäger	Hans Friedrich von Fleming	Wissenschaft	1719
fontane_briest_1896_minimal	Effi Briest	Theodor Fontane	Belletristik	1896
fontane_kinderjahre_1894_minimal	Meine Kinderjahre	Theodor Fontane	Belletristik	1894
fontane_stechlin_1899_minimal	Der Stechlin	Theodor Fontane	Belletristik	1899
francois_reckenburgerin01_1871_minimal	Die letzte Reckenburgerin	Louise von François	Belletristik	1871
friderici_musica_1619_minimal	Musica Figuralis, Oder Newe Klärliche Richtige/ vnd vorstentliche vnterweisung/ Der SingeKunst	Daniel Friderici	Wissenschaft	1619
geier_schuetz_1672_minimal	Die köstlichste Arbeit/ aus dem 119. Psalm v. 54. bei Ansehnlicher und Volckreicher Leichbestattung Des Herrn Henrich Schützens	Martin Geier	Gebrauchsliteratur	1672
gercke_torpedowaffe_1898_minimal	Die Torpedowaffe	Hermann Gercke	Gebrauchsliteratur	1898
glauber_furni01_1646_minimal	Furni Novi Philosophici Oder Beschreibung einer New-erfundenen Distillir-Kunst	Johann Rudolph Glauber	Wissenschaft	1646
glauber_furni03_1648_minimal	Furni Philosophici, oder Philosophischer Oefen Dritter Theil	Johann Rudolph Glauber	Wissenschaft	1648
glauber_furni04_1648_minimal	Furni Philosophici Oder Philosophischer Oefen Vierdter Theil	Johann Rudolph Glauber	Wissenschaft	1648
glueck_pandecten01verbesserungen_1798_minimal	Verbesserungen und Zusätze zum ersten Bande des Glückischen Commentars über die Pandecten	Christian Friedrich von Glück	Wissenschaft	1798
glueck_pandecten02verbesserungen_1800_minimal	Berichtigungen und Zusätze zum zweyten Bande des Glückischen Commentars über die Pandecten	Christian Friedrich von Glück	Wissenschaft	1800
goethe_faust01_1808_minimal	Faust	Johann Wolfgang von Goethe	Belletristik	1808
goethe_faustfragment_1790_minimal	Faust	Johann Wolfgang von Goethe	Belletristik	1790
goethe_lehrjahre02_1795_minimal	Wilhelm Meisters Lehrjahre	Johann Wolfgang von Goethe	Belletristik	1795
goethe_lehrjahre04_1796_minimal	Wilhelm Meisters Lehrjahre	Johann Wolfgang von Goethe	Belletristik	1796
goethe_wahlverw01_1809_minimal	Die Wahlverwandtschaften	Johann Wolfgang von Goethe	Belletristik	1809
